"model","lambda_rule","term","n_folds","n_selected","selection_freq","mean_coef","sd_coef","mean_coef_when_selected","sign_consistency"
"pooled_lasso_state_interactions","min","coc_population_density_per_sq_mile",8,8,1,-5.73412260347305,0.936978539113651,-5.73412260347305,1
"pooled_lasso_state_interactions","min","control_state_florida",8,8,1,-5.15184072679701,6.01197746203678,-5.15184072679701,0.75
"pooled_lasso_state_interactions","min","coc_hic_temporary_beds_per_10k:FL",8,8,1,-4.87010071702707,1.11973985083821,-4.87010071702707,1
"pooled_lasso_state_interactions","min","coc_homeownership_rate_pct:FL",8,8,1,2.58683144884184,0.632903002222128,2.58683144884184,1
"pooled_lasso_state_interactions","min","coc_population_growth_rate_pct",8,8,1,-1.42217614095298,0.56565436185185,-1.42217614095298,1
"pooled_lasso_state_interactions","min","coc_real_gdp_quantity_index:FL",8,8,1,-1.34999226466228,0.63913316617122,-1.34999226466228,1
"pooled_lasso_state_interactions","min","coc_real_gdp_quantity_index",8,8,1,1.34187739753729,1.00640575022939,1.34187739753729,1
"pooled_lasso_state_interactions","min","coc_income_inequality_ratio:FL",8,8,1,-1.03844770619508,0.396601315575157,-1.03844770619508,1
"pooled_lasso_state_interactions","min","coc_international_migration_rate_per_1000",8,8,1,-0.955260799722676,0.547401138884477,-0.955260799722676,1
"pooled_lasso_state_interactions","min","coc_annual_hpi_change_pct",8,8,1,-0.682295433985285,0.406752645806554,-0.682295433985285,1
"pooled_lasso_state_interactions","min","coc_contains_split_county_flag:FL",8,8,1,-0.403741752233657,0.334663062674156,-0.403741752233657,1
"pooled_lasso_state_interactions","min","control_time_index",8,8,1,-0.326405934585903,0.928061248739454,-0.326405934585903,0.625
"pooled_lasso_state_interactions","min","coc_group_quarters_per_1000_residents:FL",8,7,0.875,-0.651621590205127,0.648464527758677,-0.744710388805859,1
"pooled_lasso_state_interactions","min","coc_annual_hpi_change_pct:FL",8,6,0.75,-1.15651884956799,0.824151875606879,-1.54202513275732,1
"pooled_lasso_state_interactions","min","coc_housing_units_per_1000_residents",8,5,0.625,1.1726335771265,0.983512218696059,1.87621372340239,1
"pooled_lasso_state_interactions","min","coc_income_inequality_ratio",8,5,0.625,-0.897668337932857,1.05068528693193,-1.43626934069257,1
"pooled_lasso_state_interactions","min","coc_group_quarters_per_1000_residents",8,5,0.625,0.248640455685451,0.291511302495302,0.397824729096721,1
"pooled_lasso_state_interactions","min","coc_log_estimated_population:FL",8,4,0.5,-1.0049187734426,1.20638979564868,-2.0098375468852,1
"pooled_lasso_state_interactions","min","coc_permits_value_per_1000_housing_units_2025_usd:FL",8,4,0.5,0.906973453075668,1.31848908125109,1.81394690615134,1
"pooled_lasso_state_interactions","min","coc_multifamily_permit_share_pct:FL",8,4,0.5,-0.593081176245999,0.654298160516454,-1.186162352492,1
"pooled_lasso_state_interactions","min","coc_international_migration_rate_per_1000:FL",8,4,0.5,-0.50432267887722,0.593744677313248,-1.00864535775444,1
"pooled_lasso_state_interactions","min","coc_housing_cost_burdened_households_pct:FL",8,3,0.375,-0.83803804812956,1.19860064620661,-2.23476812834549,1
"pooled_lasso_state_interactions","min","coc_high_school_graduate_pct:FL",8,3,0.375,-0.766683985864096,1.20422070463973,-2.04449062897092,1
"pooled_lasso_state_interactions","min","state_rental_vacancy_rate:FL",8,2,0.25,0.552681664477665,1.02570187845032,2.21072665791066,1
"pooled_lasso_state_interactions","min","coc_unemployment_rate_pct",8,2,0.25,-0.528682609687754,1.08219497867875,-2.11473043875102,1
"pooled_lasso_state_interactions","min","coc_poverty_child_pct",8,2,0.25,-0.091628662152445,0.197030724038437,-0.36651464860978,1
"pooled_lasso_state_interactions","min","coc_permits_value_per_1000_housing_units_2025_usd",8,2,0.25,-0.0591414007907599,0.137645527596601,-0.23656560316304,1
"pooled_lasso_state_interactions","min","coc_real_per_capita_personal_income_2025_usd",8,2,0.25,-0.0227869098371359,0.044034293215837,-0.0911476393485437,1
"pooled_lasso_state_interactions","min","coc_homeownership_rate_pct",8,1,0.125,-0.0505810145792192,0.143064713633046,-0.404648116633754,1
"pooled_lasso_state_interactions","min","coc_housing_supply_growth_rate_pct:FL",8,1,0.125,0.0284809870008775,0.0805563961728257,0.22784789600702,1
"pooled_lasso_state_interactions","min","coc_contributing_counties",8,1,0.125,-0.0200037122626696,0.0565790423593528,-0.160029698101357,1
"pooled_lasso_state_interactions","min","coc_birth_rate_per_1000",8,0,0,0,0,NA,NA
"pooled_lasso_state_interactions","min","coc_birth_rate_per_1000:FL",8,0,0,0,0,NA,NA
"pooled_lasso_state_interactions","min","coc_contains_split_county_flag",8,0,0,0,0,NA,NA
"pooled_lasso_state_interactions","min","coc_contributing_counties:FL",8,0,0,0,0,NA,NA
"pooled_lasso_state_interactions","min","coc_death_rate_per_1000",8,0,0,0,0,NA,NA
