"model","lambda_rule","fold","validation_year","term","coefficient","lambda"
"pooled_lasso_state_interactions","min",1,2017,"coc_real_per_capita_personal_income_2025_usd",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_unemployment_rate_pct",-3.54225923156116,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_high_school_graduate_pct",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_homeownership_rate_pct",-0.730788483779573,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_housing_cost_burdened_households_pct",11.8860584197178,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_income_inequality_ratio",-6.44421662971334,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_annual_hpi_change_pct",-1.23329978940019,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_real_gdp_per_capita_2017_usd",0.198906116851731,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_real_minimum_wage_2025_usd",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_medicaid_expansion",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_hic_temporary_beds_per_10k",9.38990665673275,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_hic_psh_beds_per_10k",17.1252515289977,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_homeless_funding_per_capita",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_anticamping_strictness",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_tanf_max_benefit_3person",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_ssi_state_supplement",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_labor_force_participation",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_substance_use_disorder_rate",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_serious_mental_illness_rate",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_uninsured_rate",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_average_student_debt_per_borrower",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_avg_in_state_tuition",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_pct_age_18_24",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_pct_age_65plus",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_avg_household_size",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_real_median_rent_2025_usd",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_real_median_home_price_2025_usd",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_home_price_to_income_ratio",0,0.276627216886791
