"sample_id","model","lambda_rule","fold","validation_year","term","coefficient","lambda"
"S0_primary","pooled_lasso","min",5,2022,"coc_birth_rate_per_1000",-0.0943299846013444,0.677350788674731
"S0_primary","pooled_lasso","min",5,2022,"coc_real_gdp_per_capita_2017_usd",-0.0809076716376567,0.677350788674731
"S0_primary","pooled_lasso","min",6,2023,"(Intercept)",38.3840425517364,0.6962676298288
"S0_primary","pooled_lasso","min",6,2023,"coc_hic_psh_beds_per_10k",11.1219285542894,0.6962676298288
"S0_primary","pooled_lasso","min",6,2023,"control_state_florida",-7.34885891237354,0.6962676298288
"S0_primary","pooled_lasso","min",6,2023,"coc_log_estimated_population",-6.67562326387319,0.6962676298288
"S0_primary","pooled_lasso","min",6,2023,"coc_hic_temporary_beds_per_10k",5.78982137060641,0.6962676298288
"S0_primary","pooled_lasso","min",6,2023,"coc_population_density_per_sq_mile",-3.67524143238743,0.6962676298288
"S0_primary","pooled_lasso","min",6,2023,"coc_housing_cost_burdened_households_pct",2.2624972162209,0.6962676298288
"S0_primary","pooled_lasso","min",6,2023,"coc_international_migration_rate_per_1000",-1.81289217251635,0.6962676298288
"S0_primary","pooled_lasso","min",6,2023,"coc_population_growth_rate_pct",-1.22969817602525,0.6962676298288
"S0_primary","pooled_lasso","min",6,2023,"coc_housing_units_per_1000_residents",1.12218893750728,0.6962676298288
"S0_primary","pooled_lasso","min",6,2023,"coc_annual_hpi_change_pct",-1.07195356175993,0.6962676298288
"S0_primary","pooled_lasso","min",6,2023,"state_rental_vacancy_rate",0.565897422910534,0.6962676298288
"S0_primary","pooled_lasso","min",6,2023,"state_real_minimum_wage_2025_usd",0.554825433537261,0.6962676298288
"S0_primary","pooled_lasso","min",6,2023,"control_time_index",-0.497681298121555,0.6962676298288
"S0_primary","pooled_lasso","min",6,2023,"state_anticamping_strictness",-0.436196767247752,0.6962676298288
"S0_primary","pooled_lasso","min",6,2023,"coc_birth_rate_per_1000",-0.312039135840686,0.6962676298288
"S0_primary","pooled_lasso","min",6,2023,"coc_contributing_counties",-0.286973879949408,0.6962676298288
"S0_primary","pooled_lasso","min",6,2023,"coc_contains_split_county_flag",-0.125102861654664,0.6962676298288
"S0_primary","pooled_lasso","min",7,2024,"(Intercept)",39.9514316447597,1.02612463816201
"S0_primary","pooled_lasso","min",7,2024,"control_state_florida",-11.6055086572575,1.02612463816201
"S0_primary","pooled_lasso","min",7,2024,"coc_hic_psh_beds_per_10k",8.72411457943918,1.02612463816201
"S0_primary","pooled_lasso","min",7,2024,"coc_hic_temporary_beds_per_10k",7.06225399321329,1.02612463816201
"S0_primary","pooled_lasso","min",7,2024,"coc_log_estimated_population",-6.04016625105533,1.02612463816201
"S0_primary","pooled_lasso","min",7,2024,"coc_population_density_per_sq_mile",-1.99699676821976,1.02612463816201
"S0_primary","pooled_lasso","min",7,2024,"coc_population_growth_rate_pct",-1.06147601185404,1.02612463816201
"S0_primary","pooled_lasso","min",7,2024,"coc_housing_units_per_1000_residents",0.826461963994956,1.02612463816201
"S0_primary","pooled_lasso","min",7,2024,"state_rental_vacancy_rate",0.542950166108371,1.02612463816201
"S0_primary","pooled_lasso","min",7,2024,"coc_annual_hpi_change_pct",-0.501259518383339,1.02612463816201
"S0_primary","pooled_lasso","min",7,2024,"control_time_index",-0.420551352103834,1.02612463816201
"S0_primary","pooled_lasso","min",7,2024,"state_anticamping_strictness",-0.292618407359359,1.02612463816201
"S0_primary","pooled_lasso","min",7,2024,"coc_housing_cost_burdened_households_pct",0.283927041940801,1.02612463816201
"S0_primary","pooled_lasso","min",7,2024,"coc_death_rate_per_1000",0.283488777811387,1.02612463816201
"S0_primary","pooled_lasso","min",7,2024,"coc_international_migration_rate_per_1000",-0.113367258906486,1.02612463816201
"S0_primary","pooled_lasso","min",7,2024,"coc_birth_rate_per_1000",-0.0455616071176034,1.02612463816201
"S0_primary","pooled_lasso","min",8,2025,"(Intercept)",39.8320331557404,1.0483170314737
"S0_primary","pooled_lasso","min",8,2025,"control_state_florida",-12.5815049658222,1.0483170314737
"S0_primary","pooled_lasso","min",8,2025,"coc_hic_psh_beds_per_10k",7.9133023611718,1.0483170314737
"S0_primary","pooled_lasso","min",8,2025,"coc_hic_temporary_beds_per_10k",7.85508497727795,1.0483170314737
"S0_primary","pooled_lasso","min",8,2025,"coc_log_estimated_population",-5.52940472246268,1.0483170314737
"S0_primary","pooled_lasso","min",8,2025,"coc_population_density_per_sq_mile",-1.3858881572859,1.0483170314737
"S0_primary","pooled_lasso","min",8,2025,"coc_annual_hpi_change_pct",-0.843103187936266,1.0483170314737
"S0_primary","pooled_lasso","min",8,2025,"coc_population_growth_rate_pct",-0.732122888684541,1.0483170314737
"S0_primary","pooled_lasso","min",8,2025,"coc_housing_units_per_1000_residents",0.624173240614203,1.0483170314737
"S0_primary","pooled_lasso","min",8,2025,"coc_death_rate_per_1000",0.459406345540029,1.0483170314737
"S0_primary","pooled_lasso","min",8,2025,"state_rental_vacancy_rate",0.436376290268504,1.0483170314737
"S0_primary","pooled_lasso","min",8,2025,"control_time_index",-0.279445992183552,1.0483170314737
"S0_primary","pooled_lasso","min",8,2025,"coc_real_median_household_income_2025_usd",-0.156027938447701,1.0483170314737
"S0_primary","pooled_lasso","min",8,2025,"state_anticamping_strictness",-0.153847083003474,1.0483170314737
"S0_primary","pooled_lasso","min",8,2025,"coc_group_quarters_per_1000_residents",0.110190273936329,1.0483170314737
"S0_primary","pooled_lasso","min",8,2025,"coc_permits_value_per_1000_housing_units_2025_usd",-0.0822189657970375,1.0483170314737
"S0_primary","pooled_lasso_state_interactions","1se",1,2017,"(Intercept)",44.3061393433205,1.40647423436272
"S0_primary","pooled_lasso_state_interactions","1se",1,2017,"coc_hic_psh_beds_per_10k",11.4290758105415,1.40647423436272
"S0_primary","pooled_lasso_state_interactions","1se",1,2017,"coc_log_estimated_population",-7.56635354929218,1.40647423436272
"S0_primary","pooled_lasso_state_interactions","1se",1,2017,"coc_hic_temporary_beds_per_10k",4.88383409884642,1.40647423436272
"S0_primary","pooled_lasso_state_interactions","1se",1,2017,"control_time_index",-3.1669340407815,1.40647423436272
"S0_primary","pooled_lasso_state_interactions","1se",1,2017,"coc_international_migration_rate_per_1000",-2.49861304552478,1.40647423436272
"S0_primary","pooled_lasso_state_interactions","1se",1,2017,"control_state_florida",-2.0394318362705,1.40647423436272
"S0_primary","pooled_lasso_state_interactions","1se",1,2017,"coc_population_density_per_sq_mile",-1.74170046323929,1.40647423436272
"S0_primary","pooled_lasso_state_interactions","1se",1,2017,"coc_real_gdp_quantity_index",1.46219562483837,1.40647423436272
"S0_primary","pooled_lasso_state_interactions","1se",1,2017,"coc_unemployment_rate_pct",-1.28279833519265,1.40647423436272
"S0_primary","pooled_lasso_state_interactions","1se",1,2017,"coc_housing_cost_burdened_households_pct",0.911693638540816,1.40647423436272
