"sample_id","model","lambda_rule","fold","validation_year","group","n","rmse","mae","r2"
"S3_no_structural_beds","state_time_baseline","none",6,2023,"all",69,20.8667290782308,14.6125581051526,0.228838839213804
"S3_no_structural_beds","pooled_lasso","min",6,2023,"all",69,20.6577703224284,15.4123464253483,0.244206273783372
"S3_no_structural_beds","pooled_lasso","1se",6,2023,"all",69,18.8825159048782,12.4843549877468,0.368525072321599
"S3_no_structural_beds","pooled_lasso_state_interactions","min",6,2023,"all",69,20.1259995810069,15.4850933041792,0.282616618049858
"S3_no_structural_beds","pooled_lasso_state_interactions","1se",6,2023,"all",69,20.2808671725236,15.3282473477975,0.271533751259755
"S3_no_structural_beds","state_time_baseline","none",7,2024,"all",70,21.7789159004877,14.9321514383874,0.256371944445206
"S3_no_structural_beds","pooled_lasso","min",7,2024,"all",70,17.5844004751572,11.866162984941,0.515227045284142
"S3_no_structural_beds","pooled_lasso","1se",7,2024,"all",70,19.2234479769037,12.6356306329871,0.42064357963588
"S3_no_structural_beds","pooled_lasso_state_interactions","min",7,2024,"all",70,16.5497710434006,11.5617462238642,0.570594867992154
"S3_no_structural_beds","pooled_lasso_state_interactions","1se",7,2024,"all",70,17.150519110326,11.9434312146613,0.538854696216247
"S3_no_structural_beds","state_time_baseline","none",8,2025,"all",70,20.2158902361067,14.7430402325714,0.322289750759532
"S3_no_structural_beds","pooled_lasso","min",8,2025,"all",70,16.7350318192146,12.3228368542601,0.535579483852123
"S3_no_structural_beds","pooled_lasso","1se",8,2025,"all",70,17.7362388475773,12.1741744831317,0.478347408571354
"S3_no_structural_beds","pooled_lasso_state_interactions","min",8,2025,"all",70,16.3613101125567,12.6460895501174,0.556090474195321
"S3_no_structural_beds","pooled_lasso_state_interactions","1se",8,2025,"all",70,16.5799995907631,12.4501177134509,0.544144348983856
"S4_persistence","state_time_baseline","none",1,2017,"all",68,22.5982355390499,14.8583492131783,0.0691862923583655
"S4_persistence","pooled_lasso","min",1,2017,"all",68,15.156663662781,10.2817639212253,0.581282670690317
"S4_persistence","pooled_lasso","1se",1,2017,"all",68,17.2763693649305,10.8568866690574,0.455975235506436
"S4_persistence","pooled_lasso_state_interactions","min",1,2017,"all",68,14.178180528825,9.79490889718682,0.633600635142762
"S4_persistence","pooled_lasso_state_interactions","1se",1,2017,"all",68,15.6111241476508,10.3736547155756,0.555796410781539
"S4_persistence","prior_rate_only","none",1,2017,"all",68,10.408906165583,6.78450637122315,0.802519646768359
"S4_persistence","state_time_prior_rate","none",1,2017,"all",68,10.586733598641,6.82150629324828,0.795714435999107
"S4_persistence","pooled_lasso_plus_prior","min",1,2017,"all",68,10.5867341800708,6.8215070541806,0.795714413560135
"S4_persistence","pooled_lasso_plus_prior","1se",1,2017,"all",68,10.5867341800708,6.8215070541806,0.795714413560135
"S4_persistence","pooled_lasso_state_interactions_plus_prior","min",1,2017,"all",68,10.5867341800708,6.8215070541806,0.795714413560135
"S4_persistence","pooled_lasso_state_interactions_plus_prior","1se",1,2017,"all",68,10.5867341800708,6.8215070541806,0.795714413560135
"S4_persistence","state_time_baseline","none",2,2018,"all",69,24.162499934654,15.6709484965641,0.0560796524537296
"S4_persistence","pooled_lasso","min",2,2018,"all",69,15.9886544120104,10.4526361077836,0.586690443265286
"S4_persistence","pooled_lasso","1se",2,2018,"all",69,17.6916201315099,10.5716502527753,0.493957691982407
"S4_persistence","pooled_lasso_state_interactions","min",2,2018,"all",69,15.9593562822518,10.1379131798978,0.588203779168223
"S4_persistence","pooled_lasso_state_interactions","1se",2,2018,"all",69,16.1603141278102,10.3354166566483,0.577767933146476
"S4_persistence","prior_rate_only","none",2,2018,"all",69,10.105094013771,4.92886716122859,0.834905603497723
"S4_persistence","state_time_prior_rate","none",2,2018,"all",69,10.1624172428895,4.51609986010645,0.833027226824894
"S4_persistence","pooled_lasso_plus_prior","min",2,2018,"all",69,10.1624209736392,4.5161020735257,0.833027104229308
"S4_persistence","pooled_lasso_plus_prior","1se",2,2018,"all",69,10.1624209736392,4.5161020735257,0.833027104229308
"S4_persistence","pooled_lasso_state_interactions_plus_prior","min",2,2018,"all",69,10.1624209736392,4.5161020735257,0.833027104229308
