"sample_id","model","lambda_rule","term","role","n_folds","n_selected","selection_freq","mean_coef","sd_coef","mean_coef_when_selected","n_positive","n_negative","sign_consistency","dominant_sign"
"S0_primary","pooled_lasso","min","coc_birth_rate_per_1000","penalized_predictor",8,5,0.625,-0.0846715720302122,0.105338710538065,-0.13547451524834,0,5,1,"negative"
"S0_primary","pooled_lasso","min","coc_real_gdp_quantity_index","penalized_predictor",8,4,0.5,0.806811462254978,0.980528660975464,1.61362292450996,4,0,1,"positive"
"S0_primary","pooled_lasso","min","state_rental_vacancy_rate","penalized_predictor",8,4,0.5,0.200018593328312,0.264147221525723,0.400037186656625,4,0,1,"positive"
"S0_primary","pooled_lasso","min","state_anticamping_strictness","penalized_predictor",8,4,0.5,-0.129601011014711,0.164295742769833,-0.259202022029423,0,4,1,"negative"
"S0_primary","pooled_lasso","min","state_real_minimum_wage_2025_usd","penalized_predictor",8,3,0.375,0.215625735200631,0.419765631973815,0.575001960535016,3,0,1,"positive"
"S0_primary","pooled_lasso","min","coc_permits_value_per_1000_housing_units_2025_usd","penalized_predictor",8,3,0.375,0.168861838130483,0.339535457696449,0.450298235014623,2,1,0.666666666666667,"positive"
"S0_primary","pooled_lasso","min","coc_unemployment_rate_pct","penalized_predictor",8,2,0.25,-0.460299244366986,0.921128779718815,-1.84119697746795,0,2,1,"negative"
"S0_primary","pooled_lasso","min","coc_death_rate_per_1000","penalized_predictor",8,2,0.25,0.0928618904189269,0.178258813418669,0.371447561675708,2,0,1,"positive"
"S0_primary","pooled_lasso","min","coc_housing_supply_growth_rate_pct","penalized_predictor",8,1,0.125,0.0433601371471005,0.122640988039574,0.346881097176804,1,0,1,"positive"
"S0_primary","pooled_lasso","min","coc_poverty_all_pct","penalized_predictor",8,1,0.125,-0.0304959337565547,0.0862555262315022,-0.243967470052437,0,1,1,"negative"
"S0_primary","pooled_lasso","min","coc_relative_home_price_index_2000_base","penalized_predictor",8,1,0.125,0.0258147508213255,0.0730151414416009,0.206518006570604,1,0,1,"positive"
"S0_primary","pooled_lasso","min","coc_real_median_household_income_2025_usd","penalized_predictor",8,1,0.125,-0.0195034923059626,0.0551642066654634,-0.156027938447701,0,1,1,"negative"
"S0_primary","pooled_lasso","min","coc_contains_split_county_flag","penalized_predictor",8,1,0.125,-0.0156378577068329,0.0442305409109275,-0.125102861654664,0,1,1,"negative"
"S0_primary","pooled_lasso","min","coc_group_quarters_per_1000_residents","penalized_predictor",8,1,0.125,0.0137737842420412,0.0389581449605909,0.110190273936329,1,0,1,"positive"
"S0_primary","pooled_lasso","min","coc_real_gdp_per_capita_2017_usd","penalized_predictor",8,1,0.125,-0.0101134589547071,0.0286051816325008,-0.0809076716376567,0,1,1,"negative"
"S0_primary","pooled_lasso","min","coc_domestic_migration_rate_per_1000","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","min","coc_high_school_graduate_pct","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","min","coc_homeownership_rate_pct","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","min","coc_multifamily_permit_share_pct","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","min","coc_permits_per_1000_housing_units","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","min","coc_poverty_child_pct","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","min","coc_real_per_capita_personal_income_2025_usd","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","min","state_labor_force_participation_pct","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","min","state_medicaid_expansion","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","min","state_real_median_rent_2025_usd","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","min","state_ssi_state_supplement","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","min","state_tanf_max_benefit_3person","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
