"model","lambda_rule","term","selfreq_S0_primary","sign_S0_primary","selfreq_S1_split_county_excluded","sign_S1_split_county_excluded","selfreq_S2_stable_cocs","sign_S2_stable_cocs","selfreq_S3_no_structural_beds","sign_S3_no_structural_beds","selfreq_S4_persistence","sign_S4_persistence","selfreq_S4b_persistence_full_enum","sign_S4b_persistence_full_enum","selfreq_S5_no_hpi_fl518","sign_S5_no_hpi_fl518"
"pooled_lasso_state_interactions","min","coc_relative_home_price_index_2000_base:FL",0,NA,0.25,"negative",0,NA,0.375,"positive",0,NA,0,NA,NA,NA
"pooled_lasso_state_interactions","min","coc_unemployment_rate_pct",0.25,"negative",0.5,"negative",0.125,"negative",0.75,"positive",0.285714285714286,"negative",0.285714285714286,"negative",0.5,"negative"
"pooled_lasso_state_interactions","min","coc_unemployment_rate_pct:FL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","control_state_florida",1,"negative",1,"positive",1,"positive",1,"positive",1,"negative",1,"negative",1,"negative"
"pooled_lasso_state_interactions","min","control_time_index",1,"positive",1,"positive",1,"positive",1,"positive",1,"positive",1,"positive",1,"positive"
"pooled_lasso_state_interactions","min","state_anticamping_strictness",0,NA,0.125,"negative",0.25,"negative",0.5,"negative",0,NA,0.428571428571429,"negative",0.125,"negative"
"pooled_lasso_state_interactions","min","state_anticamping_strictness:FL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","state_labor_force_participation_pct",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","state_labor_force_participation_pct:FL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","state_medicaid_expansion",0,NA,0,NA,0,NA,0.5,"negative",0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","state_medicaid_expansion:FL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","state_real_median_rent_2025_usd",0,NA,0,NA,0,NA,0.125,"positive",0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","state_real_median_rent_2025_usd:FL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","state_real_minimum_wage_2025_usd",0,NA,0,NA,0.5,"positive",0.25,"positive",0,NA,0.142857142857143,"negative",0.5,"positive"
"pooled_lasso_state_interactions","min","state_real_minimum_wage_2025_usd:FL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","state_rental_vacancy_rate",0,NA,0,NA,0,NA,0.375,"positive",0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","state_rental_vacancy_rate:FL",0.25,"positive",0.25,"positive",0.375,"positive",0,NA,0.285714285714286,"positive",0.285714285714286,"positive",0.25,"positive"
"pooled_lasso_state_interactions","min","state_ssi_state_supplement",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","state_ssi_state_supplement:FL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","state_tanf_max_benefit_3person",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","state_tanf_max_benefit_3person:FL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","1se","coc_annual_hpi_change_pct",0.75,"negative",0.5,"negative",0.5,"negative",1,"negative",0.714285714285714,"negative",0.428571428571429,"negative",0.75,"negative"
"pooled_lasso_state_interactions","1se","coc_annual_hpi_change_pct:FL",0.25,"negative",0,NA,0.75,"negative",0.75,"negative",0.285714285714286,"negative",0.714285714285714,"negative",0.5,"negative"
"pooled_lasso_state_interactions","1se","coc_birth_rate_per_1000",0,NA,0,NA,0.625,"negative",0.25,"negative",0,NA,0,NA,0.625,"negative"
"pooled_lasso_state_interactions","1se","coc_birth_rate_per_1000:FL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","1se","coc_contains_split_county_flag",0,NA,NA,NA,0,NA,1,"negative",0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","1se","coc_contains_split_county_flag:FL",0.75,"negative",NA,NA,0.25,"negative",0,NA,0.714285714285714,"negative",0.571428571428571,"negative",0,NA
"pooled_lasso_state_interactions","1se","coc_contributing_counties",0,NA,0,NA,0.5,"negative",0.375,"negative",0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","1se","coc_contributing_counties:FL",0,NA,0,NA,0,NA,0.5,"positive",0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","1se","coc_death_rate_per_1000",0.125,"positive",0,NA,0,NA,0.375,"positive",0.142857142857143,"positive",0.142857142857143,"positive",0.25,"positive"
"pooled_lasso_state_interactions","1se","coc_death_rate_per_1000:FL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","1se","coc_domestic_migration_rate_per_1000",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
