year,coc_number,coc_name,count_type,total_homeless,sheltered_homeless,unsheltered_homeless,homeless_individuals,homeless_people_in_families,chronically_homeless_individuals,homeless_veterans,homeless_unaccompanied_youth_under_25
2022,CA-608,Riverside City & County CoC,Sheltered and Unsheltered Count,3316.0,1336.0,1980.0,2826.0,490.0,812.0,195.0,313.0
2022,CA-609,San Bernardino City & County CoC,Sheltered and Unsheltered Count,3333.0,944.0,2389.0,2917.0,416.0,1101.0,196.0,141.0
2022,CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Sheltered and Unsheltered Count,2248.0,892.0,1356.0,1980.0,268.0,600.0,120.0,79.0
2022,CA-612,Glendale CoC,Sheltered and Unsheltered Count,225.0,122.0,103.0,155.0,70.0,31.0,7.0,4.0
2022,CA-613,Imperial County CoC,Sheltered and Unsheltered Count,1057.0,132.0,925.0,816.0,241.0,493.0,101.0,11.0
2022,CA-614,San Luis Obispo County CoC,Sheltered and Unsheltered Count,1448.0,292.0,1156.0,1020.0,428.0,225.0,16.0,64.0
2022,FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",Sheltered and Unsheltered Count,1138.0,624.0,514.0,958.0,180.0,252.0,103.0,51.0
2022,FL-501,Tampa/Hillsborough County CoC,Sheltered and Unsheltered Count,1513.0,925.0,588.0,1055.0,458.0,109.0,147.0,17.0
2022,FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",Sheltered and Unsheltered Count,1985.0,1341.0,644.0,1536.0,449.0,451.0,310.0,40.0
2022,FL-503,"Lakeland, Winterhaven/Polk County CoC",Sheltered and Unsheltered Count,506.0,378.0,128.0,356.0,150.0,55.0,31.0,20.0
2022,FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",Sheltered and Unsheltered Count,865.0,463.0,402.0,543.0,322.0,57.0,38.0,29.0
2022,FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",Sheltered and Unsheltered Count,403.0,169.0,234.0,320.0,83.0,82.0,30.0,22.0
2022,FL-506,Tallahassee/Leon County CoC,Sheltered and Unsheltered Count,621.0,457.0,164.0,482.0,139.0,151.0,86.0,28.0
2022,FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",Sheltered and Unsheltered Count,2151.0,1725.0,426.0,1293.0,858.0,316.0,149.0,72.0
2022,FL-508,"Gainesville/Alachua, Putnam Counties CoC",Sheltered and Unsheltered Count,925.0,338.0,587.0,803.0,122.0,210.0,135.0,40.0
2022,FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",Sheltered and Unsheltered Count,846.0,147.0,699.0,585.0,261.0,48.0,59.0,49.0
