"feature_set","architecture","validation_year","seed","n","rmse","mae","r2","chosen_epochs","inner_best_val_loss"
"factors","wide_32_16_drop",2019,42,69,16.2831205549545,10.1444789602503,0.545080577688109,58,0.251089781522751
"factors","wide_32_16_drop",2019,123,69,17.056697583346,10.1201916288595,0.500829281769855,86,0.293919026851654
"factors","wide_32_16_drop",2019,2024,69,15.3333630565555,9.23034235176948,0.596601721894539,37,0.248967260122299
"factors","wide_32_16_drop",2019,31337,69,17.0943875811657,9.9292930646293,0.498620820319339,39,0.266654402017593
"factors","wide_32_16_drop",2020,10,70,20.6968759011267,11.93628812416,0.227118159109693,10,0.352636575698853
"factors","wide_32_16_drop",2020,42,70,13.1835732900961,10.0763540849699,0.686404524608352,10,0.360574275255203
"factors","wide_32_16_drop",2020,123,70,15.2356324371934,9.65858129768671,0.581182822563629,58,0.376942247152328
"factors","wide_32_16_drop",2020,2024,70,13.2893487020057,8.8069884690726,0.681352213128273,12,0.304574340581894
"factors","wide_32_16_drop",2020,31337,70,13.57444307151,9.33521801053538,0.667533758878196,13,0.337376654148102
"factors","wide_32_16_drop",2022,10,70,11.8123969420436,8.42127699076502,0.771757982316541,70,0.291942030191422
"factors","wide_32_16_drop",2022,42,70,13.4976402172621,9.56973601126193,0.701986986999147,11,0.356909781694412
"factors","wide_32_16_drop",2022,123,70,12.0552290238103,8.50000325080428,0.76227740423949,33,0.450743228197098
"factors","wide_32_16_drop",2022,2024,70,13.108746118013,9.652453453414,0.718912302747375,59,0.202737972140312
"factors","wide_32_16_drop",2022,31337,70,13.6486324633789,10.6802035226306,0.695282209260822,11,0.296417087316513
"factors","wide_32_16_drop",2023,10,69,14.5586232459392,10.6573199921903,0.624614919208737,61,0.207184046506882
"factors","wide_32_16_drop",2023,42,69,13.8855903354368,9.15787903635326,0.658520143814004,41,0.205132231116295
"factors","wide_32_16_drop",2023,123,69,12.4243674047171,9.22095857496584,0.726608527198841,46,0.191511392593384
"factors","wide_32_16_drop",2023,2024,69,15.7114137229153,12.2925747993215,0.562813318324782,114,0.20565365254879
"factors","wide_32_16_drop",2023,31337,69,11.9760920754946,8.92981723135425,0.745980740228566,50,0.191328048706055
"factors","wide_32_16_drop",2024,10,70,10.819894389532,7.76876987777531,0.816460605685512,68,0.266964673995972
"factors","wide_32_16_drop",2024,42,70,11.2930951751573,8.24648501631696,0.800055608181006,32,0.237519189715385
"factors","wide_32_16_drop",2024,123,70,12.0304717260148,8.98767733761464,0.773092649782586,27,0.20648005604744
