"feature_set","architecture","validation_year","seed","chosen_epochs"
"factors_plus_prior","no_hidden",2023,123,116
"factors_plus_prior","no_hidden",2023,2024,300
"factors_plus_prior","no_hidden",2023,31337,84
"factors_plus_prior","no_hidden",2024,10,181
"factors_plus_prior","no_hidden",2024,42,263
"factors_plus_prior","no_hidden",2024,123,300
"factors_plus_prior","no_hidden",2024,2024,174
"factors_plus_prior","no_hidden",2024,31337,300
"factors_plus_prior","no_hidden",2025,10,147
"factors_plus_prior","no_hidden",2025,42,112
"factors_plus_prior","no_hidden",2025,123,227
"factors_plus_prior","no_hidden",2025,2024,230
"factors_plus_prior","no_hidden",2025,31337,84
"factors_plus_prior","class_16_8",2017,10,44
"factors_plus_prior","class_16_8",2017,42,77
"factors_plus_prior","class_16_8",2017,123,28
"factors_plus_prior","class_16_8",2017,2024,40
"factors_plus_prior","class_16_8",2017,31337,46
"factors_plus_prior","class_16_8",2018,10,57
"factors_plus_prior","class_16_8",2018,42,24
"factors_plus_prior","class_16_8",2018,123,89
"factors_plus_prior","class_16_8",2018,2024,21
"factors_plus_prior","class_16_8",2018,31337,40
"factors_plus_prior","class_16_8",2019,10,40
"factors_plus_prior","class_16_8",2019,42,51
"factors_plus_prior","class_16_8",2019,123,114
"factors_plus_prior","class_16_8",2019,2024,118
"factors_plus_prior","class_16_8",2019,31337,116
"factors_plus_prior","class_16_8",2020,10,47
"factors_plus_prior","class_16_8",2020,42,40
"factors_plus_prior","class_16_8",2020,123,51
"factors_plus_prior","class_16_8",2020,2024,34
"factors_plus_prior","class_16_8",2020,31337,14
"factors_plus_prior","class_16_8",2023,10,37
"factors_plus_prior","class_16_8",2023,42,50
"factors_plus_prior","class_16_8",2023,123,19
"factors_plus_prior","class_16_8",2023,2024,31
"factors_plus_prior","class_16_8",2023,31337,49
"factors_plus_prior","class_16_8",2024,10,65
"factors_plus_prior","class_16_8",2024,42,61
"factors_plus_prior","class_16_8",2024,123,26
"factors_plus_prior","class_16_8",2024,2024,48
"factors_plus_prior","class_16_8",2024,31337,72
"factors_plus_prior","class_16_8",2025,10,94
"factors_plus_prior","class_16_8",2025,42,33
"factors_plus_prior","class_16_8",2025,123,23
"factors_plus_prior","class_16_8",2025,2024,66
"factors_plus_prior","class_16_8",2025,31337,24
"factors_plus_prior","class_16_8_drop",2017,10,95
"factors_plus_prior","class_16_8_drop",2017,42,118
"factors_plus_prior","class_16_8_drop",2017,123,69
"factors_plus_prior","class_16_8_drop",2017,2024,65
"factors_plus_prior","class_16_8_drop",2017,31337,181
"factors_plus_prior","class_16_8_drop",2018,10,99
"factors_plus_prior","class_16_8_drop",2018,42,178
"factors_plus_prior","class_16_8_drop",2018,123,58
"factors_plus_prior","class_16_8_drop",2018,2024,75
"factors_plus_prior","class_16_8_drop",2018,31337,136
"factors_plus_prior","class_16_8_drop",2019,10,62
"factors_plus_prior","class_16_8_drop",2019,42,188
"factors_plus_prior","class_16_8_drop",2019,123,96
"factors_plus_prior","class_16_8_drop",2019,2024,70
"factors_plus_prior","class_16_8_drop",2019,31337,123
"factors_plus_prior","class_16_8_drop",2020,10,125
"factors_plus_prior","class_16_8_drop",2020,42,59
"factors_plus_prior","class_16_8_drop",2020,123,74
"factors_plus_prior","class_16_8_drop",2020,2024,13
"factors_plus_prior","class_16_8_drop",2020,31337,63
"factors_plus_prior","class_16_8_drop",2023,10,58
"factors_plus_prior","class_16_8_drop",2023,42,24
"factors_plus_prior","class_16_8_drop",2023,123,39
"factors_plus_prior","class_16_8_drop",2023,2024,47
"factors_plus_prior","class_16_8_drop",2023,31337,50
"factors_plus_prior","class_16_8_drop",2024,10,32
"factors_plus_prior","class_16_8_drop",2024,42,161
"factors_plus_prior","class_16_8_drop",2024,123,27
"factors_plus_prior","class_16_8_drop",2024,2024,65
"factors_plus_prior","class_16_8_drop",2024,31337,97
"factors_plus_prior","class_16_8_drop",2025,10,36
"factors_plus_prior","class_16_8_drop",2025,42,56
"factors_plus_prior","class_16_8_drop",2025,123,72
"factors_plus_prior","class_16_8_drop",2025,2024,33
"factors_plus_prior","class_16_8_drop",2025,31337,127
"factors_plus_prior","wide_32_16_drop",2017,10,43
"factors_plus_prior","wide_32_16_drop",2017,42,26
"factors_plus_prior","wide_32_16_drop",2017,123,85
"factors_plus_prior","wide_32_16_drop",2017,2024,51
"factors_plus_prior","wide_32_16_drop",2017,31337,27
"factors_plus_prior","wide_32_16_drop",2018,10,60
"factors_plus_prior","wide_32_16_drop",2018,42,56
"factors_plus_prior","wide_32_16_drop",2018,123,45
"factors_plus_prior","wide_32_16_drop",2018,2024,34
"factors_plus_prior","wide_32_16_drop",2018,31337,29
"factors_plus_prior","wide_32_16_drop",2019,10,75
"factors_plus_prior","wide_32_16_drop",2019,42,48
"factors_plus_prior","wide_32_16_drop",2019,123,131
"factors_plus_prior","wide_32_16_drop",2019,2024,37
"factors_plus_prior","wide_32_16_drop",2019,31337,97
"factors_plus_prior","wide_32_16_drop",2020,10,27
"factors_plus_prior","wide_32_16_drop",2020,42,10
"factors_plus_prior","wide_32_16_drop",2020,123,42
"factors_plus_prior","wide_32_16_drop",2020,2024,14
"factors_plus_prior","wide_32_16_drop",2020,31337,8
"factors_plus_prior","wide_32_16_drop",2023,10,46
"factors_plus_prior","wide_32_16_drop",2023,42,56
"factors_plus_prior","wide_32_16_drop",2023,123,20
"factors_plus_prior","wide_32_16_drop",2023,2024,36
"factors_plus_prior","wide_32_16_drop",2023,31337,14
"factors_plus_prior","wide_32_16_drop",2024,10,47
"factors_plus_prior","wide_32_16_drop",2024,42,75
"factors_plus_prior","wide_32_16_drop",2024,123,86
"factors_plus_prior","wide_32_16_drop",2024,2024,67
"factors_plus_prior","wide_32_16_drop",2024,31337,23
"factors_plus_prior","wide_32_16_drop",2025,10,100
"factors_plus_prior","wide_32_16_drop",2025,42,30
"factors_plus_prior","wide_32_16_drop",2025,123,105
"factors_plus_prior","wide_32_16_drop",2025,2024,67
"factors_plus_prior","wide_32_16_drop",2025,31337,60
"factors_plus_prior","shallow_8_drop",2017,10,107
"factors_plus_prior","shallow_8_drop",2017,42,122
"factors_plus_prior","shallow_8_drop",2017,123,41
"factors_plus_prior","shallow_8_drop",2017,2024,43
"factors_plus_prior","shallow_8_drop",2017,31337,125
"factors_plus_prior","shallow_8_drop",2018,10,57
"factors_plus_prior","shallow_8_drop",2018,42,112
"factors_plus_prior","shallow_8_drop",2018,123,147
"factors_plus_prior","shallow_8_drop",2018,2024,91
"factors_plus_prior","shallow_8_drop",2018,31337,107
"factors_plus_prior","shallow_8_drop",2019,10,93
"factors_plus_prior","shallow_8_drop",2019,42,113
"factors_plus_prior","shallow_8_drop",2019,123,101
"factors_plus_prior","shallow_8_drop",2019,2024,56
"factors_plus_prior","shallow_8_drop",2019,31337,83
"factors_plus_prior","shallow_8_drop",2020,10,126
"factors_plus_prior","shallow_8_drop",2020,42,58
"factors_plus_prior","shallow_8_drop",2020,123,25
"factors_plus_prior","shallow_8_drop",2020,2024,44
"factors_plus_prior","shallow_8_drop",2020,31337,98
"factors_plus_prior","shallow_8_drop",2023,10,172
"factors_plus_prior","shallow_8_drop",2023,42,41
"factors_plus_prior","shallow_8_drop",2023,123,10
"factors_plus_prior","shallow_8_drop",2023,2024,7
"factors_plus_prior","shallow_8_drop",2023,31337,23
"factors_plus_prior","shallow_8_drop",2024,10,87
"factors_plus_prior","shallow_8_drop",2024,42,42
"factors_plus_prior","shallow_8_drop",2024,123,64
"factors_plus_prior","shallow_8_drop",2024,2024,123
"factors_plus_prior","shallow_8_drop",2024,31337,115
"factors_plus_prior","shallow_8_drop",2025,10,61
"factors_plus_prior","shallow_8_drop",2025,42,36
"factors_plus_prior","shallow_8_drop",2025,123,31
"factors_plus_prior","shallow_8_drop",2025,2024,59
"factors_plus_prior","shallow_8_drop",2025,31337,61
"prior_only","no_hidden",2017,10,1
"prior_only","no_hidden",2017,42,22
"prior_only","no_hidden",2017,123,300
"prior_only","no_hidden",2017,2024,1
"prior_only","no_hidden",2017,31337,300
"prior_only","no_hidden",2018,10,37
"prior_only","no_hidden",2018,42,47
"prior_only","no_hidden",2018,123,209
"prior_only","no_hidden",2018,2024,6
"prior_only","no_hidden",2018,31337,299
"prior_only","no_hidden",2019,10,22
"prior_only","no_hidden",2019,42,26
"prior_only","no_hidden",2019,123,197
"prior_only","no_hidden",2019,2024,1
"prior_only","no_hidden",2019,31337,263
"prior_only","no_hidden",2020,10,130
"prior_only","no_hidden",2020,42,92
"prior_only","no_hidden",2020,123,23
"prior_only","no_hidden",2020,2024,152
"prior_only","no_hidden",2020,31337,121
"prior_only","no_hidden",2023,10,15
"prior_only","no_hidden",2023,42,25
"prior_only","no_hidden",2023,123,162
"prior_only","no_hidden",2023,2024,1
"prior_only","no_hidden",2023,31337,207
"prior_only","no_hidden",2024,10,14
"prior_only","no_hidden",2024,42,20
"prior_only","no_hidden",2024,123,124
"prior_only","no_hidden",2024,2024,1
"prior_only","no_hidden",2024,31337,198
"prior_only","no_hidden",2025,10,8
"prior_only","no_hidden",2025,42,13
"prior_only","no_hidden",2025,123,111
"prior_only","no_hidden",2025,2024,1
"prior_only","no_hidden",2025,31337,183
"prior_only","class_16_8",2017,10,187
"prior_only","class_16_8",2017,42,224
"prior_only","class_16_8",2017,123,90
"prior_only","class_16_8",2017,2024,286
"prior_only","class_16_8",2017,31337,48
"prior_only","class_16_8",2018,10,292
"prior_only","class_16_8",2018,42,300
"prior_only","class_16_8",2018,123,300
"prior_only","class_16_8",2018,2024,169
"prior_only","class_16_8",2018,31337,262
"prior_only","class_16_8",2019,10,36
"prior_only","class_16_8",2019,42,28
"prior_only","class_16_8",2019,123,42
"prior_only","class_16_8",2019,2024,85
"prior_only","class_16_8",2019,31337,19
"prior_only","class_16_8",2020,10,15
"prior_only","class_16_8",2020,42,15
"prior_only","class_16_8",2020,123,218
"prior_only","class_16_8",2020,2024,33
"prior_only","class_16_8",2020,31337,11
"prior_only","class_16_8",2023,10,63
"prior_only","class_16_8",2023,42,125
"prior_only","class_16_8",2023,123,122
"prior_only","class_16_8",2023,2024,47
"prior_only","class_16_8",2023,31337,63
"prior_only","class_16_8",2024,10,233
"prior_only","class_16_8",2024,42,85
"prior_only","class_16_8",2024,123,67
"prior_only","class_16_8",2024,2024,25
"prior_only","class_16_8",2024,31337,57
"prior_only","class_16_8",2025,10,52
"prior_only","class_16_8",2025,42,209
"prior_only","class_16_8",2025,123,289
"prior_only","class_16_8",2025,2024,77
"prior_only","class_16_8",2025,31337,73
