"feature_set","architecture","validation_year","n","rmse","mae","r2","mean_pred_sd_across_seeds"
"factors_plus_prior","shallow_8_drop",2018,69,10.4283973939424,6.07273172181625,0.824172516184338,3.79331977042249
"factors","wide_32_16_drop",2018,69,13.8623318652166,8.27205966729612,0.68931220013077,3.72157703991097
"factors_plus_prior","wide_32_16_drop",2018,69,11.6718515410086,6.81517892039415,0.779742286642694,3.48909364503681
"factors","class_16_8",2019,69,14.9307763749494,9.65282760993603,0.617506566087632,7.41500791209728
"factors_plus_prior","class_16_8",2019,69,14.1268182776942,8.00095436260741,0.65758883314278,4.99845232647087
"prior_only","class_16_8",2019,69,13.7890728110667,7.48723225204498,0.673765916606292,0.886629710393922
"factors","class_16_8_drop",2019,69,15.5406053408561,10.7347291790646,0.585623549956834,3.76049579942983
"factors_plus_prior","class_16_8_drop",2019,69,13.4550030015383,8.00707689154462,0.689381870283469,3.25560569079898
"factors","no_hidden",2019,69,19.1748635476734,12.6168215546597,0.369153400119133,5.41912631966886
"factors_plus_prior","no_hidden",2019,69,14.7162071202218,8.01079598182599,0.628421150570089,1.42770724279632
"prior_only","no_hidden",2019,69,14.4990379863224,7.60838252207545,0.639307113122812,0.70597997459985
"factors","shallow_8_drop",2019,69,16.7580773263764,10.7494870826754,0.518154749508263,5.25789235202604
"factors_plus_prior","shallow_8_drop",2019,69,14.2836588188981,8.07569073745003,0.649943506211168,3.84575610199692
"factors","wide_32_16_drop",2019,69,15.7814386267629,9.47433406672553,0.572680822427436,3.8816331151991
"factors_plus_prior","wide_32_16_drop",2019,69,14.0991308905477,7.707057072047,0.658929712580397,3.36284063199043
"factors","class_16_8",2020,70,12.539099157586,8.37093638136347,0.716315122222315,8.60852170394728
"factors_plus_prior","class_16_8",2020,70,8.14076082920079,5.27925995499417,0.880426895936068,7.15280066640963
"prior_only","class_16_8",2020,70,5.23612787811113,3.38350842896959,0.950532039972673,1.1641808254199
"factors","class_16_8_drop",2020,70,13.1232653721328,9.49176247948455,0.689267031289217,4.77351457907876
"factors_plus_prior","class_16_8_drop",2020,70,8.51185666087057,6.01195622807432,0.869276967117036,4.38364547356715
"factors","no_hidden",2020,70,16.30934098102,10.5776032058754,0.520071724550592,11.5996581884394
"factors_plus_prior","no_hidden",2020,70,7.75022404186098,6.07584945145896,0.891624272297157,4.19555105686357
"prior_only","no_hidden",2020,70,5.02825807944682,3.55511287943794,0.9543817487878,0.771043541001545
"factors","shallow_8_drop",2020,70,14.4118374800077,10.3134801645852,0.625249497145675,7.38856144140906
"factors_plus_prior","shallow_8_drop",2020,70,7.93964706667348,6.02294431156868,0.886261916140636,5.01424275666246
"factors","wide_32_16_drop",2020,70,13.3194613366784,9.16614393037695,0.679906514660782,6.01724455571923
"factors_plus_prior","wide_32_16_drop",2020,70,8.33967121295208,6.11139520552881,0.874512238991005,5.02345870215287
"factors","class_16_8",2022,70,12.8994181090431,10.1397871304572,0.727817767198084,10.044426348038
"factors","class_16_8_drop",2022,70,12.4288985676838,8.82723657269594,0.74731188227119,5.69581338849516
"factors","no_hidden",2022,70,13.6436145164549,9.82260432583762,0.69550622827874,6.604405373831
"factors","shallow_8_drop",2022,70,13.4938718835476,10.1892765634707,0.702153365077426,12.6995559600082
"factors","wide_32_16_drop",2022,70,11.153307728549,7.6175089181147,0.796517575956884,6.53969352011482
"factors","class_16_8",2023,69,13.2385497678719,10.3926230500179,0.689603212131769,7.98662081177005
"factors_plus_prior","class_16_8",2023,69,11.8505980798573,9.30847875563368,0.751276436368118,9.46661335062528
"prior_only","class_16_8",2023,69,6.64496598823217,4.39014872845639,0.921797269276823,0.316499335247229
"factors","class_16_8_drop",2023,69,13.2079141613354,8.75896651298207,0.691038141382642,4.30907393482827
"factors_plus_prior","class_16_8_drop",2023,69,11.3897266510721,7.71506543735871,0.770246044998538,4.53570291156632
"factors","no_hidden",2023,69,16.8152472563475,12.3976647628835,0.499224689545121,3.46050381615073
"factors_plus_prior","no_hidden",2023,69,7.88617083495968,6.04986894542481,0.889853993691042,4.8578699315744
"prior_only","no_hidden",2023,69,6.67793297682887,4.3724391644616,0.921019386052334,0.732545826219704
"factors","shallow_8_drop",2023,69,13.3531557874051,9.7692092376824,0.684205744883257,6.06174727136531
"factors_plus_prior","shallow_8_drop",2023,69,11.3897304281205,8.2485957376098,0.770245892617013,10.8837594954986
"factors","wide_32_16_drop",2023,69,12.7906479996897,9.15798618291329,0.710251305413312,5.30332916693313
"factors_plus_prior","wide_32_16_drop",2023,69,10.4415878276161,6.73247539641602,0.806905686121949,6.84566670146913
"factors","class_16_8",2024,70,12.3640414312148,9.11190213919926,0.760335254648203,9.24285483925247
"factors_plus_prior","class_16_8",2024,70,9.04628986898722,6.96660458715222,0.871700710882412,7.01405605345656
"prior_only","class_16_8",2024,70,8.07393836184773,5.1090174397489,0.897799243646101,0.698572410332538
"factors","class_16_8_drop",2024,70,10.8142538070066,8.00170014262445,0.816651919798558,4.41502262956852
"factors_plus_prior","class_16_8_drop",2024,70,7.8746504717907,5.9447517711759,0.90278219240923,4.00668353195173
"factors","no_hidden",2024,70,14.1298172072997,10.0691017047321,0.686991351170927,4.75962032940976
"factors_plus_prior","no_hidden",2024,70,7.59864545196697,5.4626609677575,0.909477693158098,1.27252579991735
"prior_only","no_hidden",2024,70,7.73346314402512,4.8853129567948,0.906237043925925,0.743034376885727
"factors","shallow_8_drop",2024,70,11.6092597853604,8.73952700223237,0.788703496687638,6.24936522117591
"factors_plus_prior","shallow_8_drop",2024,70,8.5211259465391,6.83335695382605,0.88616463101883,4.57953976001606
"factors","wide_32_16_drop",2024,70,10.8713072481114,8.14589419183222,0.814712214478352,4.14046771837525
"factors_plus_prior","wide_32_16_drop",2024,70,7.65442909246338,5.78234300790135,0.90814371875327,3.5945084468275
"factors","class_16_8",2025,70,9.77565403776517,7.49872299791807,0.841528941521124,7.12825276216725
"factors_plus_prior","class_16_8",2025,70,7.45131500483056,4.36820861346856,0.907928724607709,4.55189775293209
"prior_only","class_16_8",2025,70,5.54951113861753,3.79241552763111,0.948929775526628,0.575851347674242
"factors","class_16_8_drop",2025,70,9.35907690787259,7.64752508054171,0.854747256466715,3.58686246201087
"factors_plus_prior","class_16_8_drop",2025,70,7.329183726311,5.82385656957601,0.910922190429435,3.41534106293538
"factors","no_hidden",2025,70,13.3997637247081,10.7785208334518,0.70224943577498,3.63377601682636
"factors_plus_prior","no_hidden",2025,70,7.07115901119588,5.38286507590474,0.917083775483686,1.95770699667537
"prior_only","no_hidden",2025,70,5.42332199927147,3.54121473306776,0.951225919232591,1.19391604803172
"factors","shallow_8_drop",2025,70,10.876862484701,8.48727216324953,0.803815095444637,3.96421254368465
"factors_plus_prior","shallow_8_drop",2025,70,7.79547366289221,5.97768801487041,0.899227199207625,3.6475968647875
"factors","wide_32_16_drop",2025,70,8.1104307548302,6.65349481772753,0.890919742779257,3.3548684310958
"factors_plus_prior","wide_32_16_drop",2025,70,7.43580739353623,5.59463388904909,0.908311561672322,2.82085907317986
