"","coc_annual_hpi_change_pct","state_real_home_price_growth_pct","coc_contains_split_county_flag","coc_contributing_counties","coc_group_quarters_per_1000_residents","coc_hic_temporary_beds_per_10k","state_substance_use_disorder_rate","state_rental_vacancy_rate","state_tanf_max_benefit_3person","state_ssi_state_supplement","state_real_minimum_wage_2025_usd","state_real_median_rent_2025_usd","state_avg_in_state_tuition","state_real_median_home_price_2025_usd","state_home_price_to_income_ratio","state_medicaid_expansion","state_uninsured_rate","state_homeless_funding_per_capita","state_anticamping_strictness","coc_unemployment_rate_pct","coc_housing_units_per_1000_residents","coc_birth_rate_per_1000","coc_high_school_graduate_pct","coc_domestic_migration_rate_per_1000","coc_population_growth_rate_pct","coc_permits_per_1000_housing_units","coc_housing_supply_growth_rate_pct","coc_death_rate_per_1000","coc_homeownership_rate_pct","coc_housing_cost_burdened_households_pct","state_average_student_debt_per_borrower","state_pct_age_18_24","state_avg_household_size","state_labor_force_participation","state_serious_mental_illness_rate","state_pct_age_65plus","coc_log_estimated_population","coc_international_migration_rate_per_1000","coc_poverty_all_pct","coc_poverty_child_pct","coc_real_gdp_per_capita_2017_usd","coc_real_median_household_income_2025_usd","coc_real_per_capita_personal_income_2025_usd","coc_multifamily_permit_share_pct","coc_income_inequality_ratio","coc_population_density_per_sq_mile","coc_hic_psh_beds_per_10k"
"state_real_median_home_price_2025_usd",0.196,-0.002,-0.068,-0.285,-0.09,0.17,0.811,-0.825,0.914,0.855,0.933,0.937,0.98,1,0.987,0.886,-0.892,0.644,-0.745,-0.112,-0.405,0.061,-0.154,-0.475,-0.483,-0.2,-0.107,-0.278,-0.408,0.139,-0.079,0.221,0.531,0.54,-0.504,-0.477,-0.105,-0.062,-0.215,-0.392,0.329,0.474,0.279,0.126,0.208,0.126,0.253
"state_home_price_to_income_ratio",0.283,0.026,-0.067,-0.281,-0.093,0.149,0.862,-0.856,0.871,0.829,0.886,0.916,0.961,0.987,1,0.863,-0.887,0.641,-0.678,-0.128,-0.407,0.067,-0.147,-0.442,-0.444,-0.154,-0.064,-0.258,-0.406,0.123,-0.064,0.21,0.513,0.499,-0.475,-0.464,-0.096,-0.05,-0.214,-0.393,0.321,0.465,0.277,0.135,0.203,0.125,0.243
"state_medicaid_expansion",0.138,-0.129,-0.061,-0.266,-0.07,0.135,0.682,-0.736,0.815,0.776,0.849,0.804,0.866,0.886,0.863,1,-0.852,0.498,-0.594,-0.11,-0.379,0.119,-0.188,-0.454,-0.465,-0.282,-0.202,-0.322,-0.432,0.18,-0.204,0.277,0.607,0.561,-0.551,-0.515,-0.111,-0.136,-0.15,-0.3,0.282,0.413,0.219,0.081,0.186,0.118,0.228
"state_uninsured_rate",-0.3,0.122,0.051,0.191,0.085,-0.083,-0.742,0.716,-0.715,-0.596,-0.881,-0.814,-0.824,-0.892,-0.887,-0.852,1,-0.563,0.666,0.388,0.26,0.088,0.016,0.302,0.324,-0.015,-0.058,0.093,0.27,0.121,-0.246,0.151,-0.28,-0.214,0.183,0.14,0.077,-0.03,0.311,0.446,-0.283,-0.426,-0.281,-0.084,-0.233,-0.081,-0.216
"state_homeless_funding_per_capita",0.225,0.03,-0.033,-0.128,-0.067,0.148,0.294,-0.371,0.531,0.407,0.654,0.546,0.562,0.644,0.641,0.498,-0.563,1,-0.75,-0.102,-0.152,-0.097,-0.012,-0.327,-0.407,-0.064,-0.037,-0.003,-0.132,-0.049,0.122,-0.048,0.135,0.139,-0.136,-0.127,-0.066,-0.068,-0.181,-0.272,0.208,0.285,0.209,0.088,0.131,0.05,0.161
"state_anticamping_strictness",-0.028,0.122,0.04,0.156,0.06,-0.208,-0.325,0.423,-0.763,-0.573,-0.86,-0.659,-0.708,-0.745,-0.678,-0.594,0.666,-0.75,1,0.135,0.175,0.131,0.012,0.374,0.422,0.123,0.078,0.067,0.151,0.032,-0.182,0.063,-0.144,-0.273,0.193,0.126,0.084,-0.017,0.227,0.34,-0.259,-0.35,-0.241,-0.072,-0.181,-0.06,-0.205
"coc_unemployment_rate_pct",-0.32,0.063,-0.029,-0.02,0.108,0.034,-0.104,0.023,0.08,0.213,-0.166,-0.02,-0.013,-0.112,-0.128,-0.11,0.388,-0.102,0.135,1,-0.281,0.573,-0.645,-0.196,-0.162,-0.378,-0.303,-0.247,-0.179,0.365,-0.596,0.593,0.358,0.44,-0.465,-0.491,-0.144,-0.294,0.605,0.602,-0.269,-0.405,-0.401,-0.183,-0.251,-0.105,-0.195
"coc_housing_units_per_1000_residents",-0.018,-0.027,-0.135,0.223,0.025,0.188,-0.427,0.477,-0.428,-0.509,-0.303,-0.427,-0.457,-0.405,-0.407,-0.379,0.26,-0.152,0.175,-0.281,1,-0.649,0.587,0.359,0.146,0.176,0.094,0.623,0.572,-0.359,0.372,-0.419,-0.508,-0.489,0.494,0.502,-0.397,0.001,-0.195,-0.052,-0.117,-0.21,0.09,-0.243,-0.044,-0.098,-0.06
"coc_birth_rate_per_1000",-0.09,0.025,0.05,-0.07,0.047,-0.063,0.156,-0.226,0.136,0.278,-0.042,0.115,0.137,0.061,0.067,0.119,0.088,-0.097,0.131,0.573,-0.649,1,-0.767,-0.342,-0.097,-0.29,-0.222,-0.591,-0.569,0.379,-0.505,0.493,0.454,0.425,-0.452,-0.474,0.19,-0.086,0.562,0.508,-0.08,-0.208,-0.339,0.032,-0.15,-0.035,-0.059
"coc_high_school_graduate_pct",0.06,-0.028,-0.148,0.03,-0.122,0.057,-0.162,0.233,-0.221,-0.31,-0.087,-0.186,-0.21,-0.154,-0.147,-0.188,0.016,-0.012,0.012,-0.645,0.587,-0.767,1,0.351,0.2,0.337,0.24,0.409,0.548,-0.337,0.401,-0.404,-0.399,-0.393,0.406,0.415,-0.029,0.117,-0.635,-0.617,0.147,0.316,0.366,-0.003,0.073,-0.046,0.041
"coc_domestic_migration_rate_per_1000",0.217,0.053,-0.155,0.086,-0.096,-0.318,-0.332,0.383,-0.542,-0.561,-0.445,-0.49,-0.517,-0.475,-0.442,-0.454,0.302,-0.327,0.374,-0.196,0.359,-0.342,0.351,1,0.886,0.632,0.559,0.549,0.64,-0.517,0.343,-0.405,-0.485,-0.533,0.507,0.493,-0.031,-0.153,-0.141,0.016,-0.421,-0.269,-0.246,-0.4,-0.359,-0.225,-0.328
"coc_population_growth_rate_pct",0.233,-0.001,-0.141,-0.021,-0.178,-0.348,-0.283,0.369,-0.529,-0.529,-0.471,-0.475,-0.507,-0.483,-0.444,-0.465,0.324,-0.407,0.422,-0.162,0.146,-0.097,0.2,0.886,1,0.634,0.607,0.229,0.418,-0.337,0.308,-0.34,-0.461,-0.483,0.468,0.457,0.194,0.202,-0.108,0.015,-0.269,-0.172,-0.168,-0.204,-0.227,-0.134,-0.258
"coc_permits_per_1000_housing_units",0.33,0.06,-0.074,-0.003,-0.184,-0.247,-0.077,0.203,-0.375,-0.456,-0.179,-0.255,-0.286,-0.2,-0.154,-0.282,-0.015,-0.064,0.123,-0.378,0.176,-0.29,0.337,0.632,0.634,1,0.735,0.311,0.407,-0.533,0.583,-0.594,-0.548,-0.603,0.591,0.582,0.134,0.127,-0.309,-0.24,-0.107,0.023,0.017,-0.053,-0.111,-0.083,-0.155
"coc_housing_supply_growth_rate_pct",0.225,-0.013,-0.036,-0.002,-0.134,-0.218,0.013,0.142,-0.246,-0.317,-0.099,-0.138,-0.174,-0.107,-0.064,-0.202,-0.058,-0.037,0.078,-0.303,0.094,-0.222,0.24,0.559,0.607,0.735,1,0.188,0.309,-0.429,0.502,-0.471,-0.45,-0.461,0.472,0.465,0.147,0.175,-0.266,-0.221,-0.036,0.072,0.055,-0.058,-0.068,-0.028,-0.094
