"variable","row","value","robust_z","coc","state","predictor_year"
"coc_permits_value_per_1000_housing_units_2025_usd",710,11229056.6533363,6.39,"FL-512","Florida",2015
"coc_permits_per_1000_housing_units",834,35.9307183709893,6.38,"FL-602","Florida",2023
"coc_permits_per_1000_housing_units",599,35.8734514132277,6.37,"FL-503","Florida",2022
"coc_housing_supply_growth_rate_pct",742,3.34814423283394,6.37,"FL-514","Florida",2022
"coc_permits_value_per_1000_housing_units_2025_usd",626,11186297.3586497,6.36,"FL-505","Florida",2023
"coc_domestic_migration_rate_per_1000",715,61.27217685,6.36,"FL-512","Florida",2021
"coc_real_gdp_per_capita_2017_usd",17,161416.128752203,6.35,"CA-501","California",2014
"coc_population_growth_rate_pct",255,-4.841993757,-6.33,"CA-519","California",2019
"coc_real_per_capita_personal_income_2025_usd",26,176014.740889561,6.31,"CA-501","California",2024
"coc_permits_per_1000_housing_units",600,35.514798542284,6.29,"FL-503","Florida",2023
"coc_population_growth_rate_pct",753,-4.80586224853244,-6.29,"FL-515","Florida",2019
"coc_hic_temporary_beds_per_10k",299,50.0419655723946,6.27,"CA-523","California",2011
"coc_permits_value_per_1000_housing_units_2025_usd",708,11039018.7271284,6.26,"FL-512","Florida",2013
"coc_housing_supply_growth_rate_pct",781,3.30028360921235,6.26,"FL-519","Florida",2022
"coc_permits_value_per_1000_housing_units_2025_usd",834,10973195.5641029,6.21,"FL-602","Florida",2023
"coc_international_migration_rate_per_1000",13,16.8781348,6.2,"CA-500","California",2024
"coc_housing_supply_growth_rate_pct",560,3.26473856022312,6.18,"FL-500","Florida",2022
"coc_international_migration_rate_per_1000",886,16.77899821,6.16,"FL-606","Florida",2023
"coc_international_migration_rate_per_1000",801,16.67476372,6.12,"FL-600","Florida",2015
"coc_real_per_capita_personal_income_2025_usd",10,172318.798972761,6.1,"CA-500","California",2021
"coc_real_per_capita_personal_income_2025_usd",100,172020.249172313,6.09,"CA-507","California",2019
"coc_permits_per_1000_housing_units",742,34.5703874184887,6.08,"FL-514","Florida",2022
"coc_real_per_capita_personal_income_2025_usd",25,171529.937389106,6.06,"CA-501","California",2023
"coc_hic_psh_beds_per_10k",458,43.6410922197019,6.04,"CA-606","California",2024
"coc_permits_per_1000_housing_units",741,34.296317096403,6.02,"FL-514","Florida",2021
"coc_real_gdp_per_capita_2017_usd",8,155003.002553554,5.99,"CA-500","California",2018
"coc_permits_per_1000_housing_units",780,33.8544240756088,5.93,"FL-519","Florida",2021
"coc_real_per_capita_personal_income_2025_usd",24,169173.17904453,5.93,"CA-501","California",2022
"coc_permits_per_1000_housing_units",559,33.7985838724466,5.91,"FL-500","Florida",2021
"coc_permits_per_1000_housing_units",744,33.7933528188749,5.91,"FL-514","Florida",2024
"coc_permits_value_per_1000_housing_units_2025_usd",709,10511301.5027851,5.89,"FL-512","Florida",2014
"coc_permits_value_per_1000_housing_units_2025_usd",835,10511597.6064389,5.89,"FL-602","Florida",2024
"coc_housing_supply_growth_rate_pct",561,3.14161209996503,5.89,"FL-500","Florida",2023
"coc_hic_psh_beds_per_10k",122,42.7060970989702,5.89,"CA-509","California",2015
"coc_international_migration_rate_per_1000",859,16.11329013,5.88,"FL-604","Florida",2022
"coc_housing_supply_growth_rate_pct",60,-1.957372771,-5.86,"CA-504","California",2018
"coc_unemployment_rate_pct",532,21.1,5.85,"CA-613","California",2019
"coc_hic_psh_beds_per_10k",123,42.3898722575471,5.84,"CA-509","California",2016
"coc_housing_supply_growth_rate_pct",677,3.1127181758484,5.82,"FL-509","Florida",2022
"coc_hic_temporary_beds_per_10k",860,47.2821815103694,5.82,"FL-604","Florida",2023
"coc_hic_temporary_beds_per_10k",25,47.2013376976617,5.81,"CA-501","California",2023
"coc_population_density_per_sq_mile",386,2335.41752439971,5.79,"CA-600","California",2016
"coc_population_density_per_sq_mile",387,2334.95601999089,5.79,"CA-600","California",2017
"coc_permits_per_1000_housing_units",626,33.2309958015879,5.79,"FL-505","Florida",2023
"coc_income_inequality_ratio",25,28.399332306112,5.79,"CA-501","California",2023
"coc_real_gdp_per_capita_2017_usd",16,151532.981605657,5.79,"CA-501","California",2013
"coc_population_density_per_sq_mile",385,2330.72806648096,5.78,"CA-600","California",2015
"coc_permits_per_1000_housing_units",848,33.173039667301,5.78,"FL-603","Florida",2024
"coc_population_growth_rate_pct",715,5.85777229276954,5.78,"FL-512","Florida",2021
"coc_population_density_per_sq_mile",388,2328.06811868652,5.77,"CA-600","California",2018
"coc_hic_temporary_beds_per_10k",220,46.8916908440182,5.76,"CA-516","California",2024
"coc_population_density_per_sq_mile",384,2320.24912010468,5.75,"CA-600","California",2014
"coc_population_density_per_sq_mile",389,2320.02610971183,5.75,"CA-600","California",2019
"coc_housing_supply_growth_rate_pct",562,3.07799647348182,5.74,"FL-500","Florida",2024
"coc_population_density_per_sq_mile",383,2309.25158790296,5.72,"CA-600","California",2013
