"coc_year","state","state_abbr","coc_number","coc_name","year","estimated_coc_population","contributing_counties","contains_split_county_flag","population_allocation_method","log_estimated_coc_population","coc_land_area_sq_miles","population_density_per_sq_mile_derived","housing_units_per_1000_residents","permits_per_1000_residents","permits_per_1000_housing_units","multifamily_permit_share_pct","real_median_household_income_2025_usd","real_per_capita_personal_income_2025_usd","real_median_home_sale_price_2025_usd","real_state_minimum_wage_2025_usd","real_gdp_per_capita_2017_usd","population_change","births","deaths","natural_change","international_migration","domestic_migration","net_migration","group_quarters_population","birth_rate_per_1000","death_rate_per_1000","natural_change_rate_per_1000","international_migration_rate_per_1000","domestic_migration_rate_per_1000","net_migration_rate_per_1000","housing_units","permits_one_unit_units","permits_two_unit_units","permits_three_four_unit_units","permits_five_plus_unit_units","permits_total_units_authorized","permits_total_value_authorized","permits_total_reported_units","poverty_all_estimate","poverty_all_ci_low","poverty_all_ci_high","poverty_all_pct","poverty_all_pct_ci_low","poverty_all_pct_ci_high","poverty_child_estimate","poverty_child_ci_low","poverty_child_ci_high","poverty_child_pct","poverty_child_pct_ci_low","poverty_child_pct_ci_high","poverty_age_5_17_estimate","poverty_age_5_17_pct","median_household_income","median_household_income_ci_low","median_household_income_ci_high","civilian_labor_force","employed_people","unemployed_people","unemployment_rate_pct","bea_personal_income_thousands_usd","bea_population","bea_per_capita_personal_income_usd","bea_real_gdp_thousands_2017_usd","bea_real_gdp_quantity_index","bea_current_gdp_thousands_usd","annual_hpi_change_pct","hpi","hpi_1990_base","hpi_2000_base","high_school_graduate_or_higher_pct_age_18plus","homeownership_rate_pct","housing_cost_burdened_households_pct","income_inequality_top_bottom_quintile_ratio","state_minimum_wage_usd_per_hour","medicaid_expansion_status","housing_units_per_capita","population_density_per_sq_mile","permits_total_units_per_1000_population","population_growth_rate_pct","housing_supply_growth_rate_pct","foreclosure_rate_per_100_mortgages","median_home_sale_price_annual_avg_usd"
"CA-500 | 2010","California","CA","CA-500","San Jose/Santa Clara City & County CoC",2010,1786040,1,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",14.3955119964821,1298.43925136383,1375.52834922698,353.933842467134,2.31349801796152,6.53652671876483,79.6466602129719,124941.07401605,89853.5775307029,,11.8109893075307,95122.0412677658,,5868,2168,,2690,-2007,683,30048,,,,,,,632140,814,4,23,3291,4132,745488807,4011,186051,173255,198847,10.6,9.9,11.3,56661,51333,61989,13.3,12,14.6,38002,12.6,84627,82907,86347,927405,829964,97441,10.5,108733666,1786576,60861,169942756,60.583,165967271,-0.01,1317.35,214.35,127.49,86.3,61.6156754173928,43.0828836071603,14.4618514213252,8,0,0.353933842,1383.36467650439,2.31349801796152,,,,
"FL-509 | 2012","Florida","FL","FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2012,572385,3,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",13.2575688679446,1759.18139468722,325.370085045591,511.362107672284,1.75406413515379,3.43018011862137,3.28685258964143,60941.7039354637,68360.4164381316,,10.7560868101134,36042.44120253,,5427,6222,,887,4891,5778,8555,9.52322182048054,10.918010963151,,1.55658670995156,8.58238435975428,10.138971071974,292696,947,8,16,33,1004,322403407,948,92720,80941,104499,16.4016010202923,14.3302551604252,18.4729468801593,29572,24814,34330,26.4671495584266,22.2017493470304,30.7325497698228,19767,23.6729959729902,43456.5913642042,41199.0161342453,45714.166594163,256401,229165,27236,10.5972410178464,27783737,569965,48746.7610978625,20542930,88.7523739004341,18725207,-1.30623290267914,240.492183303196,137.401345894809,115.576176157656,85.9327512076662,73.5287206030362,43.3522375483879,14.8721273759059,7.67,0,0.511362107583137,384.455699692994,1.75406413515379,0.880418200794034,0.199583626899291,,
"FL-509 | 2013","Florida","FL","FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2013,578320,3,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",13.2678843568192,1759.18139468722,328.743813313707,507.288352469221,2.88421635080924,5.68555602897316,1.85851318944844,62707.2790252423,65803.2121528439,,10.7665354384253,36107.4364349649,,5330,6486,,984,6072,7056,8451,9.26276871763597,11.2740867011182,,1.70950454521898,10.5592272465287,12.2687317905209,293375,1607,30,0,31,1668,520276864,1652,93536,80566,106506,16.360495054641,14.10982743118,18.6111626781021,28381,23368,33394,25.4053404689445,20.885332341956,29.925348595933,19549,23.4029615091991,45371.1137069443,42185.9689272375,48556.258486651,256923,232315,24608,9.56856774795961,27367895,574805,47611.139683912,20754735,89.9702743636741,19332248,7.86517946811454,259.415758628441,147.838501262277,124.532882729285,86.5823914096002,72.0377793595312,41.6051815367538,15.2835618940354,7.79,0,0.507288352469221,388.007112283682,2.88421635080924,1.03750469876794,0.226652260773214,,
"FL-509 | 2014","Florida","FL","FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2014,587609,3,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",13.2838187415169,1759.18139468722,334.024110176812,501.517165325923,3.57550684213482,7.12938078562315,15.2784388386483,64239.6539885237,69611.4392050351,,10.7857885604668,36508.5017006832,,5451,6691,,1194,9151,10345,8556,9.35104764667076,11.4774796628036,,2.04855191373698,15.6978462058054,17.7463981215591,294696,1755,22,3,321,2101,622846246,2095,88941,76341,101541,15.3058579769881,13.1596466357731,17.4520693182031,27295,22187,32403,24.6692703821759,20.0302432399776,29.3082975243742,18761,22.7002501663521,47230.710417982,44377.541368495,50083.879467469,259599,239437,20162,7.75425869923708,29839209,583001,51180.1904701936,21284493,91.9895876203394,20301079,12.8721212064485,292.654060370076,166.681766650953,140.518108691324,86.8792802697032,72.3020652529048,40.0801033400305,15.543755499364,7.93,0,0.501517165325922,394.369354260044,3.57550684213482,1.60652061633116,0.444978279699948,,
"FL-509 | 2015","Florida","FL","FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2015,600275,3,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",13.3051448284307,1759.18139468722,341.224049897782,493.846986797718,4.12144433801174,8.34558972352282,12.9345189975748,66357.6945187083,72269.5822012444,,10.9357562472928,37316.046359476,,5474,7112,,1435,12731,14166,8471,9.21795382412462,11.9726140008226,,2.41762974412064,21.4366113817084,23.8542411228712,296444,2117,28,9,320,2474,720596760,2250,84746,72672,96820,14.2173630419391,12.1695944358836,16.2651316479947,25498,20939,30057,22.7464370496856,18.6282415559535,26.8646325434176,18028,21.5191688809296,48847.0507933864,46049.6598958811,51644.4416908917,261755,245329,16426,6.26365915622007,31631881,594571,53198.8939369456,22187039,95.5720005814002,21544032,12.0608600558078,326.597252775811,186.33232055308,157.292632410145,87.2525145974762,71.9009344726144,38.0526026288783,15.757166610518,8.05,0,0.493846986842897,403.629151266522,4.12144433806616,2.15689577419002,0.591110867332469,,
"FL-509 | 2016","Florida","FL","FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2016,615050,3,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",13.3294604701797,1759.18139468722,349.622842679823,485.412568083896,4.80448744004552,9.89774009974778,5.41455160744501,66062.3946576222,74566.1307922274,,10.7988953090232,37981.1671314322,,5567,6995,,1694,14457,16151,8570,9.16295886220443,11.5098566213792,,2.78955715805544,23.7944191130999,26.5839762753926,298553,2666,94,35,160,2955,891166727,2955,87759,75714,99804,14.3776119014714,12.3787770099992,16.3764467929437,26033,21342,30724,22.9580063409479,18.7620297536786,27.1539829282172,17192,20.5355585724738,49245.9887586375,46627.1457101049,51864.8318071702,265659,250603,15056,5.64269083814324,33806820,608192,55585.0701113731,23099842,99.6514122624177,22672410,13.0465471099911,368.142641248679,210.374427591253,177.739458222909,87.3235366230388,71.3706164591815,36.7532649404888,15.8926610518748,8.05,0,0.485412568083896,414.325448926537,4.80448743991565,2.46307401910842,0.710751311762447,,
"FL-509 | 2017","Florida","FL","FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2017,627105,3,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",13.3488708643374,1759.18139468722,356.475461765272,480.206663955797,5.43449661539934,11.3169954174138,1.40845070422535,69042.3740832118,76864.6038102443,,10.6392004913343,37333.6678901425,,5602,7165,,1732,11857,13589,8515,9.02229304395998,11.5341499251431,,2.79166133932636,19.1044633216433,21.8961246574417,301140,3199,90,71,48,3408,926421588,3231,73090,60184,85996,11.7750327297661,9.70136978655887,13.8486956729734,20735,15988,25482,18.2674451646853,14.0462078918203,22.4886824375503,14493,17.2412323295142,52564.403737811,49150.5605169788,55978.2469586433,270229,256833,13396,4.92086460800025,36206283,618729,58519.7441640555,23099423,100,23099423,10.6533813157286,405.249903620606,232.484838408241,196.544608717838,87.7852278326596,71.8820169593618,35.0413801630567,15.4402251431381,8.1,0,0.480206663892541,423.737509151203,5.43449661539934,1.96437201844257,0.869853858477611,,
"FL-509 | 2018","Florida","FL","FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2018,638354,3,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",13.3666498339115,1759.18139468722,362.869913203863,476.498933193808,8.36839747224894,17.5622585682584,16.2111568700861,72624.4101546694,78771.6233739654,,10.5782199884906,38166.9228712739,,5633,7584,,1247,11932,13179,8569,8.9049553697659,11.9842406784864,,1.97296494839037,18.8741796755504,20.8471446216861,304175,4286,122,68,866,5342,1386348543,5327,71997,59146,84848,11.402737039323,9.37827913665458,13.4271949419914,20227,14605,25849,17.8234625301948,12.8754354167124,22.7714896436773,14391,17.0494844553336,56640.0948768238,53099.1657841887,60181.023969459,275230,263488,11742,4.24835890430701,38601338,628404,61434.333332289,23984247,103.68220000188,24497919,9.04869989065628,442.183948968754,253.537961898884,214.35219055571,87.848169510961,73.5574944005803,34.2320377290906,15.4639354340971,8.25,0,0.47649893319101,432.695032244687,8.36839747224894,1.79844634970375,1.01990455892935,,
"FL-509 | 2019","Florida","FL","FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2019,649220,3,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",13.383528461604,1759.18139468722,369.046649743264,476.115954530051,8.83521764579033,18.556861121176,9.72803347280335,77576.5406896814,81249.8541741466,,10.6542938678529,38420.6038575435,,5623,7704,,879,12025,12904,8581,8.73737302688865,11.9634190771361,,1.36801521570579,18.7117917668923,20.079806981807,309104,4865,194,119,558,5736,1457652036,5540,66187,54183,78191,10.3495471488864,8.45068297341425,12.2484113243585,18286,12728,23844,16.2630775392009,11.3857707710791,21.1403843073226,12502,14.8989538215089,61599.345989033,56988.9405871661,66209.7513908999,279807,269144,10663,3.82640707310311,41179162,638230,64516.1260651243,24521182,106.094952353594,25698741,4.61364847047226,461.663747296756,265.064741027695,224.23930203937,88.2291785527248,73.6887829423619,32.8144829493412,15.3074778383234,8.46,0,0.476115954530051,442.102044739454,8.83521764579033,1.71088865443102,1.66686087214193,,
"FL-509 | 2020","Florida","FL","FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2020,650563,3,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",13.3855949579522,1759.18139468722,369.810073005957,482.821802039157,9.83763294254361,20.3752873233876,3.484375,81839.1299839906,84968.3689354641,,10.6468330018483,39322.9308526827,3111,1308,2094,-786,20,4303,4323,9124,,,,,,,314106,5964,178,35,223,6400,1651324151,6339,77582,63670,91494,11.8836804429394,9.7587401988739,14.008620687005,21906,16711,27101,18.9663666700996,14.3888195301608,23.5439138100384,15697,18.3111080710093,65798.2474733423,60970.4939429387,70626.001003746,277796,256672,21124,7.60952375096647,44443942,650582,68314.1397973755,25582791,110.375323000232,27475237,5.00091070349835,483.19143606384,278.137181579647,235.39903612717,88.9904754804684,75.7040706222752,31.6096556355682,14.8209030136514,8.56,0,0.482821802039157,445.188510499917,9.83763294254361,,,,
"FL-509 | 2021","Florida","FL","FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2021,668555,3,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",13.4128754416492,1759.18139468722,380.037557251946,478.783346171968,14.950153689674,31.2253001471447,17.0385192596298,75149.2625412977,88607.7486353586,,11.8816787658165,41107.0468532976,17992,5565,9215,-3650,490,22446,22936,9051,8.44129795889761,13.9629443084361,-5.52164634805923,0.743205534067721,34.0949723335977,34.8381778685192,320093,8016,236,40,1703,9995,2435588311,9888,75525,63056,87994,11.4735592434429,9.56997614257615,13.3771423443097,21252,16346,26158,18.2611919737344,14.0548387193275,22.4675452281413,15188,17.370020267592,63248.0174076927,58773.976187449,67722.0586279364,285334,271851,13483,4.76089685964506,49819560,668128,74575.1087719036,27464769,119.180211153907,30902403,18.0028401403026,569.593053181862,327.960449671306,277.931395651816,89.8457356537607,76.3147309717011,31.5627866773156,14.9160640494829,10,0,0.478783346171968,460.82911667112,14.950153689674,2.78042554478201,1.99195384135073,,
"FL-509 | 2022","Florida","FL","FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2022,690728,3,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",13.4455028405863,1759.18139468722,392.641715110233,477.179150114083,13.0109102280492,27.2663007697185,25.7260487370646,76209.5967873239,85067.1300612658,,11.0024895482235,41079.6656033185,22173,6018,9585,-3567,3670,20885,24555,9143,8.86312861987272,14.0927651195277,-5.22963649930797,5.40958778518022,30.7996886639829,36.2092764534871,329601,6184,364,127,2312,8987,2400584489,8982,82533,70682,94384,12.1631652401524,10.4433400701868,13.882990410118,20894,16393,25395,17.5992434069561,13.7102839323149,21.4882028815974,14534,16.3271950753408,69265.7752168726,64275.699024797,74255.8514089482,295480,285443,10037,3.38323942275396,53368328,689959,77316.2561876745,28343285,123.345861632944,34677540,25.0471883867456,711.687654387834,409.963110254688,347.765372389711,90.1728049246592,77.8448766395891,31.7267800818928,15.0124508981124,10,0,0.477179150114083,480.5511007167,13.0109102280492,3.338360637862,3.1127181758484,,
"FL-509 | 2023","Florida","FL","FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2023,712135,3,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",13.4760241833897,1759.18139468722,404.810443170142,474.841146692692,10.9431498241204,23.0459173564473,11.3691774669575,74709.7435577298,87880.6550325973,,11.6230591756563,42159.0600269512,21407,6439,8987,-2548,4930,18520,23450,9165,9.1896521803341,12.7971933568036,-3.6075411781259,7.04601930763467,26.4961171016187,33.5421364088539,338151,6620,272,15,886,7793,2334341879,7297,78394,66776,90012,11.2370271086241,9.57697557345166,12.8970786437965,17399,12404,22394,14.5012150786017,10.4545316548126,18.5478985023907,11890,13.1564589579223,70704.8950465853,67174.123538374,74235.6665547965,305381,294949,10432,3.43180155448054,59186505,710914,83169.7740456515,29971466,130.860388064061,38480785,7.6792913843583,768.107685284391,441.489509854171,374.742239800038,90.3573468513695,78.017579201969,33.020232313894,15.0471999852971,11,0,0.474841146692692,501.016789020244,10.9431498241204,3.12814914226708,2.70415001594762,,
"FL-509 | 2024","Florida","FL","FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2024,728354,3,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",13.498543845685,1759.18139468722,414.030072282286,474.413540668411,8.33660555169602,17.5724443698432,10.7707509881423,82464.165826523,88364.8871853711,,12.3161156794272,41756.8660558015,16219,6226,8954,-2728,4259,14500,18759,9198,8.6523993021805,12.4186077830426,-3.76620847867658,5.91821599485471,20.2045220945592,26.1227380925153,345541,5374,40,4,654,6072,1853619213,6059,74260,62082,86438,10.3004819085225,8.60800984136835,11.9929539756767,18024,12943,23105,14.215866185948,10.1509848233139,18.2807475485821,12056,12.8313130702927,80347.5718867474,74869.36362538,85825.7801481148,308807,296937,11870,3.83282826757319,62780926,728475,86096.8404182582,30418833,133.062430609292,40142095,3.68568133078146,797.871106632215,457.858866320498,388.739648961906,90.721424472166,78.6070120598586,34.7320940931512,15.2549297033254,12,0,0.474413540750844,517.461316419411,8.33660555169602,2.2981842983897,2.25669457992385,,
