state_year_county,data_status_note,state_fips,county_fips,fips,state,county_name,year,population,population_change,births,deaths,natural_change,international_migration,domestic_migration,net_migration,group_quarters_population,birth_rate_per_1000,death_rate_per_1000,natural_change_rate_per_1000,international_migration_rate_per_1000,domestic_migration_rate_per_1000,net_migration_rate_per_1000,housing_units,permits_one_unit_units,permits_two_unit_units,permits_three_four_unit_units,permits_five_plus_unit_units,permits_total_units_authorized,permits_total_value_authorized,permits_total_reported_units,poverty_all_estimate,poverty_all_ci_low,poverty_all_ci_high,poverty_all_pct,poverty_all_pct_ci_low,poverty_all_pct_ci_high,poverty_child_estimate,poverty_child_ci_low,poverty_child_ci_high,poverty_child_pct,poverty_child_pct_ci_low,poverty_child_pct_ci_high,poverty_age_5_17_estimate,poverty_age_5_17_pct,median_household_income,median_household_income_ci_low,median_household_income_ci_high,civilian_labor_force,employed_people,unemployed_people,unemployment_rate_pct,bea_personal_income_thousands_usd,bea_population,bea_per_capita_personal_income_usd,bea_real_gdp_thousands_2017_usd,bea_real_gdp_quantity_index,bea_current_gdp_thousands_usd,annual_hpi_change_pct,hpi,hpi_1990_base,hpi_2000_base,land_area_sq_miles,high_school_graduate_or_higher_pct_age_18plus,homeownership_rate_pct,housing_cost_burdened_households_pct,income_inequality_top_bottom_quintile_ratio,state_minimum_wage_usd_per_hour,medicaid_expansion_status,housing_units_per_capita,population_density_per_sq_mile,permits_total_units_per_1000_population,population_growth_rate_pct,housing_supply_growth_rate_pct,foreclosure_rate_per_100_mortgages
California | Los Angeles County | 2016,,06,037,06037,California,Los Angeles County,2016,10105708,,123692,63169,,38904,-79139,-40235,177240,12.25211633,6.257105845,,3.853574472,-7.838989053,-3.985414581,3525319,5022,760,267,14542,20591,4910545310,19867,1629450,1589664,1669236,16.3,15.9,16.7,519545,502502,536588,23.4,22.6,24.2,371712,23.3,61308,60930,61686,5041383,4774435,266948,5.3,554158129,10123015,54742,696714382,96.653,687790470,7.57,1373.32,236.17,232.36,4060.254,77.7,48.357867422110765,49.526140629475705,18.75690562315028,10,1,0.3488443362899462,2488.9349287015048,2.037561346518225,0.2012014179682886,0.6037677481805837,
California | Los Angeles County | 2017,,06,037,06037,California,Los Angeles County,2017,10103711,,120191,63000,,31888,-91152,-59264,177476,11.89455273,6.234716594,,3.155756234,-9.020744238,-5.864988004,3542673,5683,1014,167,14710,21574,5547221269,21234,1490853,1454153,1527553,14.9,14.5,15.3,457665,440895,474435,20.9,20.1,21.7,321855,20.4,64912,64252,65572,5107316,4863464,243852,4.8,573348398,10125014,56627,720841757,100,720841757,6.86,1467.56,252.37,248.31,4060.254,78.2,48.61363587613131,48.63414881,18.89906306590032,10.5,1,0.35063087216172356,2488.4430875506805,2.1352550562857546,-0.019761109,0.4922675082737138,
California | Los Angeles County | 2018,,06,037,06037,California,Los Angeles County,2018,10073906,,113565,66038,,20835,-98218,-77383,178327,11.25653242,6.545668896,,2.065159627,-9.735341889,-7.670182262,3561369,5957,1222,206,14624,22009,5526500848,21450,1409155,1369373,1448937,14.2,13.8,14.6,429467,411461,447473,19.9,19.1,20.7,304157,19.5,67986,67293,68679,5127134,4888786,238348,4.6,595765931,10098683,58994,740088358,102.67,755372387,6.71,1566.08,269.31,264.98,4060.254,78.7,48.629000424572304,47.99186599155602,18.947459410703548,11,1,0.3535241444579689,2481.102413789876,2.1847533618042494,-0.294990623,0.5277371069810854,
California | Los Angeles County | 2019,,06,037,06037,California,Los Angeles County,2019,10039107,,112963,68164,,21050,-100808,-79758,179406,11.23282723,6.778099333,,2.093172216,-10.024157,-7.930984781,3579329,5884,1408,233,14040,21565,5132750010,21277,1319242,1280878,1357606,13.4,13,13.8,385475,367258,403692,18.3,17.4,19.2,277650,18.1,72721,72077,73365,5163996,4932292,231704,4.5,629245755,10053252,62591,767859358,106.523,796023430,3.51,1621.01,278.76,274.27,4060.254,79.1,48.71910804546625,47.34823903827745,18.91408885380033,12,1,0.3565385845573715,2472.531767716995,2.1480994275686074,-0.345437013,0.5043004529999617,
California | Los Angeles County | 2020,,06,037,06037,California,Los Angeles County,2020,9996510,-20904,23841,20154,3687,158,-25143,-24985,210810,,,,,,,3598028,6752,1116,172,12863,20903,4754173132,19998,1289368,1238069,1340667,13.2,12.7,13.7,352512,330044,374980,17.2,16.1,18.3,255877,16.9,75624,74530,76718,4972649,4363217,609432,12.3,678659849,9996634,67889,728586287,101.074,765988904,2.74,1665.38,286.39,281.78,4060.254,79.8,49.17264642473885,46.90132472983664,18.971363195118567,12,1,0.35992841501684086,2462.040552142797,2.091029769389517,,,
California | Los Angeles County | 2021,,06,037,06037,California,Los Angeles County,2021,9810478,-186032,94882,89262,5620,12108,-195168,-183060,178139,9.580659109,9.01318262,0.567476489,1.222598812,-19.70698422,-18.48438541,3621314,7657,1102,249,14276,23284,5090905560,22409,1365808,1324191,1407425,14.1,13.7,14.5,374321,356336,392306,18.4,17.5,19.3,282158,18.5,77356,76664,78048,5019876,4569811,450065,9,721712800,9809239,73575,773279179,107.274,840970679,11.55,1857.71,319.47,314.32,4060.254,80,49.501119382160816,46.78414365990716,19.153769709818473,13,1,0.3691271719889693,2416.2227289228704,2.3733807873581694,-1.860969478,0.6471878484547666,
California | Los Angeles County | 2022,,06,037,06037,California,Los Angeles County,2022,9748524,-61954,96750,75092,21658,62305,-146583,-84278,200705,9.89314281,7.678510386,2.214632424,6.37097946,-14.98880158,-8.617822116,3646897,8268,1454,257,16956,26935,5742189089,26110,1328547,1291492,1365602,13.9,13.5,14.3,351449,334324,368574,18.1,17.2,19,262174,17.9,82455,81813,83097,5036788,4786014,250774,5,728349845,9748447,74714,785175539,108.925,909321173,15.45,2144.77,368.83,362.89,4060.254,80.3,49.69779158430634,46.80646572,19.515982016382335,14,1,0.3740973505322447,2400.964077616819,2.7629823755883454,-0.631508475,0.7064562752636228,
California | Los Angeles County | 2023,,06,037,06037,California,Los Angeles County,2023,9732568,-15956,93521,72694,20827,83416,-121102,-37686,206688,9.60120716,7.463031333,2.138175827,8.563790983,-12.43277328,-3.868982293,3677333,9554,1244,274,13214,24286,5392309587,22838,1299957,1260625,1339289,13.7,13.3,14.1,337451,319685,355217,17.6,16.7,18.5,253494,17.5,86499,85733,87265,5064724,4808271,256453,5.1,766331882,9731837,78745,794412003,110.206,956211290,3.18,2213.07,380.58,374.44,4060.254,80.7,49.80947657,46.792411942595294,19.65721404841006,15.5,1,0.3778378943769003,2397.0342742104312,2.495333194692295,-0.16367606,0.8345725146611027,
California | Los Angeles County | 2024,,06,037,06037,California,Los Angeles County,2024,9748868,16300,91605,68495,23110,92259,-99629,-7370,209025,9.404337545,7.0318225,2.372515045,9.471478386,-10.22809612,-0.756617736,3708352,9106,1064,209,9430,19809,3876623417,18344,1275042,1235370,1314714,13.3,12.9,13.7,315526,297108,333944,16.5,15.5,17.5,234272,16.2,90757,90046,91468,5106364,4812384,293980,5.8,818509319,9757179,83888,810842127,112.485,1002965029,6.02,2346.27,403.48,396.98,4060.254,80.9,49.73869041481252,47.110369893681614,20.03388532028994,16,1,0.38038795888917565,2401.0488013804065,2.031928219768695,0.16747892231525618,0.8435189307033131,
California | Los Angeles County | 2025,2025 is complete only for sources that had published county data by 2026-07-24; blanks from lagged sources are not zero.,06,037,06037,California,Los Angeles County,2025,9694934,-53934,91048,68467,22581,29325,-105471,-76146,209153,9.365246571,7.042552686,2.322693885,3.016385376,-10.84880416,-7.832418783,3726923,10106,1276,235,10633,22250,4573893701,20192,,,,,,,,,,,,,,,,,,5098836,4810625,288211,5.7,,,,,,,1.7,2386.19,410.35,403.74,4060.254,,,,,16.5,1,0.3844196360697247,2387.765395957987,2.2950130449572943,-0.553233463,0.5007884904129956,
California | Madera County | 2010,,06,039,06039,California,Madera County,2010,150986,,574,325,,-35,-57,-92,8516,,,,,,,49149,112,2,0,78,192,24379100,192,30912,26193,35631,21.7,18.4,25,13394,11127,15661,31.7,26.3,37.1,8491,28.1,43596,40117,47075,61713,51357,10356,16.8,4245578,150972,28122,4912047,81.546,4431320,-12.76,444.89,157.95,127.39,2136.709,67.9,58.65941924507627,46.87631859812852,11.821459497756436,8,0,0.32552024691030956,70.66287454211127,1.271641079305366,,,
California | Madera County | 2011,,06,039,06039,California,Madera County,2011,151675,,2441,1009,,-67,-674,-741,8442,16.13025795,6.667525714,,-0.442739567,-4.45382788,-4.896567447,49280,112,0,54,125,291,31280534,291,33965,29303,38627,23.6,20.4,26.8,14213,12062,16364,33.5,28.4,38.6,9287,30.5,44795,42242,47348,61780,51784,9996,16.2,4446463,151517,29346,4931563,81.87,4692281,-5.82,419.01,148.76,119.98,2136.709,67.8,57.46740545269612,46.18051225777489,11.299298166176138,8,0,0.324905225,70.98533305190365,1.9185759024229438,0.45633369981323835,0.2665364503855683,
California | Madera County | 2012,,06,039,06039,California,Madera County,2012,151527,,2379,1051,,-59,-1461,-1520,7351,15.69250863,6.932671948,,-0.389179491,-9.637139597,-10.02631909,49523,115,2,0,40,157,24841170,157,33785,29598,37972,23.3,20.4,26.2,14991,12898,17084,35.4,30.5,40.3,9730,32,42054,39512,44596,62368,53323,9045,14.5,4674829,151216,30915,5126914,85.113,4991598,-2.53,408.42,145,116.95,2136.709,68,56.31490999851937,46.26528408948254,11.965084251458196,8,0,0.3268262421878609,70.91606765357379,1.0361189754961162,-0.097577056,0.4931006493506418,
California | Madera County | 2013,,06,039,06039,California,Madera County,2013,151370,,2291,1048,,70,-1491,-1421,6720,15.12725448,6.919844039,,0.462203323,-9.844930785,-9.382727462,49669,215,4,0,0,219,52230612,219,33974,29397,38551,23.4,20.3,26.5,13563,11367,15759,32.2,27,37.4,9035,29.8,41223,38364,44082,62118,54230,7888,12.7,4840670,150857,32088,5259349,87.312,5323120,11.49,455.35,161.66,130.38,2136.709,68.5,56.02171698139541,45.653850939405245,12.608948740225893,8,0,0.3281297482988703,70.84259017021036,1.4467860210081258,-0.103611898,0.2948125113583666,
California | Madera County | 2014,,06,039,06039,California,Madera County,2014,153456,,2262,1044,,-32,884,852,8167,14.8412537,6.8498094,,-0.209955844,5.800030181,5.590074338,49874,210,0,4,0,214,56882313,214,32542,27824,37260,22.3,19.1,25.5,12871,10728,15014,30.7,25.6,35.8,8619,28.4,43171,40100,46242,61779,54775,7004,11.3,5167474,152783,33822,5537036,91.922,5597031,16.13,528.78,187.73,151.41,2136.709,69.5,56.43208015174359,43.68549633544399,13.185680494905386,9,1,0.3250052132207278,71.81885787910286,1.3945365446773017,1.3780802008323878,0.4127322877448769,
California | Madera County | 2015,,06,039,06039,California,Madera County,2015,153576,,2296,1051,,30,-1158,-1128,7796,14.95609578,6.846191928,,0.19541937,-7.543187681,-7.347768311,50074,211,0,0,0,211,57568864,211,33258,28457,38059,22.6,19.3,25.9,13519,11510,15528,32.3,27.5,37.1,9400,31.1,46593,43646,49540,59821,53511,6310,10.5,5246433,152739,34349,5280320,87.66,5215027,5.05,555.49,197.21,159.05,2136.709,70.8,56.89452178128679,41.560879229439365,14.090838584585557,9,1,0.32605355003385944,71.87501901288384,1.3739125905089338,0.078198311,0.4010105465773739,
California | Madera County | 2016,,06,039,06039,California,Madera County,2016,153956,,2291,1085,,68,-894,-826,7505,14.89926252,7.056176268,,0.442230402,-5.814029109,-5.371798707,50272,300,0,0,0,300,52020828,300,30029,25520,34538,20.4,17.3,23.5,12689,10630,14748,30.3,25.4,35.2,9093,30,49467,45766,53168,63674,58010,5664,8.9,5497117,152851,35964,5849024,97.101,5682028,7.37,596.44,211.75,170.78,2136.709,71.7,57.118183382074655,41.16170845,14.591739626950895,10,1,0.3265348541141625,72.05286260319023,1.9486086933929174,0.2474344949731755,0.3954147861165547,
California | Madera County | 2017,,06,039,06039,California,Madera County,2017,155423,,2179,1127,,-71,492,421,7776,14.08628252,7.285562369,,-0.458983965,3.180564938,2.721580974,50570,415,0,0,0,415,96077716,415,31569,27218,35920,21.2,18.3,24.1,12075,10097,14053,28.6,23.9,33.3,8435,27.4,50783,47084,54482,63353,58394,4959,7.8,5687523,154100,36908,6023623,100,6023623,7.18,639.26,226.95,183.04,2136.709,71.6,58.905559615108835,40.004243981798034,14.070920092543156,10.5,1,0.3253701189656614,72.73943246366258,2.670132477175193,0.9528696510691326,0.5927753023551974,
California | Madera County | 2018,,06,039,06039,California,Madera County,2018,156882,,2178,1071,,-148,502,354,7909,13.94790349,6.858679816,,-0.947791422,3.214806039,2.267014617,50968,503,0,0,0,503,122116839,503,30201,26194,34208,20.2,17.5,22.9,12147,10185,14109,28.5,23.9,33.1,8472,27.5,53632,49200,58064,63734,59388,4346,6.8,5815299,155260,37455,6027876,100.071,6077794,8.12,691.15,245.38,197.9,2136.709,71.9,59.580206219268014,37.4032634,13.301820222917168,11,1,0.3248811208424166,73.42225824854953,3.2062314350913423,0.9387285022165237,0.7870278821435539,
California | Madera County | 2019,,06,039,06039,California,Madera County,2019,157327,,2108,1060,,-139,-464,-603,7445,13.41782062,6.747101452,,-0.884761417,-2.953448183,-3.838209599,51438,644,0,0,0,644,164138949,644,26309,22123,30495,17.6,14.8,20.4,11023,8988,13058,26.1,21.3,30.9,7535,24.4,61105,56926,65284,64351,60027,4324,6.7,6074666,155469,39073,6222075,103.295,6380931,5.27,727.58,258.31,208.33,2136.709,71.9,59.86705273,36.293803666744026,12.905146316851663,12,1,0.32694960178481763,73.63052245,4.093385115078785,0.28365268163332846,0.9221472296342847,
California | Madera County | 2020,,06,039,06039,California,Madera County,2020,156396,138,486,286,200,0,-77,-77,6914,,,,,,,49667,732,0,0,120,852,214136095,812,21211,16814,25608,14.1,11.2,17,7920,5769,10071,18.8,13.7,23.9,5589,17.9,68744,63890,73598,63315,56457,6858,10.8,6896835,156434,44088,6203031,102.978,6470633,4.61,761.11,270.21,217.93,2136.709,72,62.04996649496748,35.82301461688856,11.70165889,12,1,0.3175720606665132,73.19480566,5.447709660093609,,,
California | Madera County | 2021,,06,039,06039,California,Madera County,2021,159012,2616,2072,1443,629,-26,2048,2022,6697,13.13853802,9.150053264,3.988484756,-0.164865825,12.98635418,12.82148836,50155,1066,0,0,0,1066,274438359,1066,31044,27214,34874,20.4,17.9,22.9,11859,9943,13775,27.7,23.2,32.2,8346,26,60241,54963,65519,64308,58786,5522,8.6,7624891,159019,47950,6427572,106.706,7301021,15.39,878.28,311.81,251.48,2136.709,71.8,61.98159637598483,36.736053288925895,12.926188003116074,13,1,0.3154164465574925,74.41911837316172,6.703896561265816,1.6726770505639532,0.9825437413171656,
California | Madera County | 2022,,06,039,06039,California,Madera County,2022,160377,1365,2105,1519,586,234,623,857,6493,13.18141827,9.511911807,3.669506464,1.465297803,3.901198852,5.366496655,50891,880,6,16,64,966,230303387,966,33721,29965,37477,22,19.6,24.4,13297,11518,15076,31.3,27.1,35.5,10114,31.7,71273,66341,76205,65650,61664,3986,6.1,7371293,160414,45952,5998770,99.587,7483083,17.95,1035.9,367.77,296.61,2136.709,72.1,61.682193310032304,36.33080706089188,14.329189088884766,14,1,0.31732106224708034,75.05795126992024,6.023307581511064,0.8584257791864669,1.4674509022031712,
California | Madera County | 2023,,06,039,06039,California,Madera County,2023,163632,3255,2154,1299,855,545,1845,2390,6959,13.29592697,8.018295788,5.277631177,3.364104084,11.38857254,14.75267662,51765,1109,0,0,0,1109,342730233,1109,28046,23870,32222,18,15.3,20.7,10423,8522,12324,24.2,19.8,28.6,7650,23.6,66084,61331,70837,69076,64229,4847,7,7691441,163402,47071,6297562,104.548,8082102,2.16,1058.23,375.7,303.01,2136.709,73,62.41141738747792,38.005695323715614,15.845308105343902,15.5,1,0.3163501026694045,76.58132202372902,6.777402952967635,2.029592772030897,1.7173960032225821,
California | Madera County | 2024,,06,039,06039,California,Madera County,2024,166132,2500,2170,1203,967,870,670,1540,6778,13.16092721,7.296126927,5.864800281,5.27650077,4.063512087,9.340012858,52880,1335,0,0,8,1343,465102111,1315,28069,23941,32197,17.7,15.1,20.3,11196,9203,13189,26,21.4,30.6,8089,25,71161,66984,75338,70850,65559,5291,7.5,8474319,165432,51225,6799065,112.873,8846190,6.32,1125.11,399.44,322.16,2136.709,73.1,63.78077017605133,39.849006682936846,15.168539325842696,16,1,0.3183011099607541,77.75134564416587,8.083933257891315,1.5278185196049732,2.1539650342895733,
California | Madera County | 2025,2025 is complete only for sources that had published county data by 2026-07-24; blanks from lagged sources are not zero.,06,039,06039,California,Madera County,2025,167927,1795,2172,1209,963,-33,863,830,6438,13.00369097,7.238242346,5.765448618,-0.19756989,5.166751981,4.969182091,54263,1144,18,0,85,1247,473704757,1237,,,,,,,,,,,,,,,,,,71350,65676,5674,8,,,,,,,1.21,1138.73,404.28,326.06,2136.709,,,,,16.5,1,0.3231344572343935,78.59142260363953,7.425845754405188,1.0804661353622347,2.6153555219364577,
California | Marin County | 2010,,06,041,06041,California,Marin County,2010,252904,,589,475,,159,225,384,9192,,,,,,,111275,121,0,0,65,186,64281349,60,22456,18863,26049,9.2,7.7,10.7,5609,4543,6675,10.9,8.8,13,3750,9.9,82383,77154,87612,133105,122547,10558,7.9,21062194,253015,83245,18238164,72.758,16007783,-4.62,1137.46,211.05,133.96,520.141,91.8,66.16047806237846,46.48575762683297,17.81691382349891,8,0,0.4399890867681017,486.22200518705506,0.7354569322746971,,,
California | Marin County | 2011,,06,041,06041,California,Marin County,2011,255376,,2385,1830,,676,1246,1922,9335,9.38459117,7.200755489,,2.659951208,4.902809475,7.562760683,111437,98,0,0,83,181,57541502,45,23236,19887,26585,9.4,8,10.8,5618,4529,6707,10.8,8.7,12.9,3843,10.1,78470,74282,82658,134050,124302,9748,7.3,22828237,255926,89199,18543600,73.976,16482896,-4.69,1084.06,201.14,127.67,520.141,92,65.22829132817243,46.411274315204444,18.082071097372488,8,0,0.4363644195225863,490.9745626666616,0.7087588496961343,0.9774459874102526,0.14558526173893416,
California | Marin County | 2012,,06,041,06041,California,Marin County,2012,256061,,2326,1877,,624,-368,256,8599,9.09593948,7.340102496,,2.440183248,-1.439082429,1.00110082,111604,118,0,0,118,236,65414839,43,21058,17892,24224,8.5,7.2,9.8,5377,4339,6415,10.3,8.3,12.3,3681,9.5,88654,84146,93162,136509,127895,8614,6.3,24416303,257071,94979,19143313,76.369,17357797,1.91,1104.81,204.99,130.11,520.141,92.1,64.32293701749263,45.747966031237006,18.977303700597545,8,0,0.43584927029106346,492.29151326274996,0.9216553868023635,0.26823194035461295,0.14986045927294356,
California | Marin County | 2013,,06,041,06041,California,Marin County,2013,258409,,2323,1890,,623,1304,1927,8232,9.030652905,7.347367193,,2.421909927,5.069294614,7.491204541,111823,170,4,0,344,518,127829950,275,21784,18694,24874,8.7,7.5,9.9,5417,4402,6432,10.3,8.4,12.2,3661,9.2,94347,89659,99035,137942,130741,7201,5.2,24806255,259862,95459,19841778,79.155,18322683,8.05,1193.75,221.5,140.59,520.141,92.4,64.21916357861302,44.69486823855756,19.864235638798785,8,0,0.43273647589673736,496.8056738461302,2.0045741440894087,0.9169690034796396,0.19622952582345476,
California | Marin County | 2014,,06,041,06041,California,Marin County,2014,260359,,2431,1876,,589,844,1433,8329,9.372204916,7.232520125,,2.270764581,3.253862999,5.524627579,112338,194,0,0,196,390,112423018,122,22272,19261,25283,8.8,7.6,10,5357,4413,6301,10.1,8.3,11.9,3467,8.6,94549,88283,100815,138604,132612,5992,4.3,26755509,262261,102019,20706016,82.603,19492772,13.09,1350.01,250.49,158.99,520.141,92.5,63.67690782953419,44.05333068992863,21.06479794,9,1,0.4314734654841968,500.55465729484894,1.497931702,0.7546176797247783,0.4605492608855011,
California | Marin County | 2015,,06,041,06041,California,Marin County,2015,260916,,2302,1959,,738,-497,241,8345,8.832190303,7.516186274,,2.831518872,-1.90686298,0.924655892,112699,201,6,0,183,390,115111799,102,19100,16297,21903,7.5,6.4,8.6,4670,3753,5587,8.8,7.1,10.5,3108,7.7,99868,95541,104195,138743,133795,4948,3.6,28764641,263269,109260,21428614,85.486,20648881,6.62,1439.41,267.08,169.52,520.141,92.9,63.50367879083218,42.12903607566224,21.31126205537696,9,1,0.4319359487344586,501.6255207722522,1.4947339373591502,0.21393537384919448,0.3213516352436496,
California | Marin County | 2016,,06,041,06041,California,Marin County,2016,260562,,2275,1903,,661,-1382,-721,7953,8.725200296,7.298486226,,2.535102152,-5.300319477,-2.765217325,113028,95,2,0,15,112,75963222,112,19932,17036,22828,7.8,6.7,8.9,4514,3668,5360,8.5,6.9,10.1,2950,7.3,103488,98224,108752,132040,127385,4655,3.5,29825203,263455,113208,23035271,91.895,22628549,9.01,1569.06,291.13,184.79,520.141,93.1,64.18593754963311,40.93251581736928,21.51601511986472,10,1,0.4337854330255371,500.94493608463864,0.42984011482871637,-0.13567585,0.29192805614957074,
California | Marin County | 2017,,06,041,06041,California,Marin County,2017,259749,,2248,1959,,599,-1696,-1097,8051,8.640985872,7.530111799,,2.3024691,-6.519177953,-4.216708853,113127,94,0,0,0,94,76440202,91,20222,17808,22636,7.9,7,8.8,4262,3470,5054,8.2,6.7,9.7,2898,7.3,112735,107137,118333,132019,127922,4097,3.1,31324429,263145,119039,25066955,100,25066955,2.47,1607.82,298.33,189.35,520.141,93.2,64.68029165959362,40.37256793226746,21.470878625338205,10.5,1,0.4355242946074865,499.38189836986516,0.36188782247477375,-0.312017869,0.087588916,
California | Marin County | 2018,,06,041,06041,California,Marin County,2018,259662,,2193,1986,,427,-709,-282,8219,8.444180042,7.647123376,,1.644170031,-2.730015344,-1.085845313,113185,108,8,0,48,164,99629652,147,16742,13811,19673,6.6,5.4,7.8,3290,2386,4194,6.4,4.6,8.2,2303,5.8,122933,116812,129054,132048,128599,3449,2.6,33770671,263698,128066,28016958,111.768,28562594,5.5,1696.25,314.73,199.77,520.141,93.2,64.87563409596315,39.89256624594935,20.847631068836492,11,1,0.4358935847370813,499.21463603138386,0.6315902981568347,-0.033493873,0.051269812,
California | Marin County | 2019,,06,041,06041,California,Marin County,2019,258826,,2149,1998,,432,-1416,-984,8307,8.289487896,7.707025042,,1.666383793,-5.462035766,-3.795651973,113344,179,12,0,49,240,114527517,240,17357,14718,19996,6.9,5.9,7.9,3621,2737,4505,7.2,5.5,8.9,2423,6.2,112069,105883,118255,131241,127955,3286,2.5,35941360,263129,136592,29644574,118.262,30672438,0.18,1699.24,315.29,200.12,520.141,93.3,64.59306838161916,39.91971540764356,21.075956521739126,12,1,0.43791581989444645,497.6073795374716,0.9272638761175461,-0.321957006,0.14047797853071753,
California | Marin County | 2020,,06,041,06041,California,Marin County,2020,261337,-975,502,509,-7,3,-860,-857,7196,,,,,,,111611,127,14,3,11,155,73587539,90,15119,11766,18472,6,4.7,7.3,2848,1960,3736,5.8,4,7.6,1865,4.9,127601,117084,138118,123527,114657,8870,7.2,38007035,261341,145431,29465918,117.549,31026399,-2.11,1663.38,308.63,195.9,520.141,93.6,64.98499736413399,39.30426661997315,19.95941512414436,12,1,0.42707691601265796,502.4349166860525,0.5931039232867906,,,
California | Marin County | 2021,,06,041,06041,California,Marin County,2021,259349,-1988,2176,2208,-32,388,-2356,-1968,6080,8.358204369,8.481119139,-0.12291477,1.490341588,-9.049599951,-7.559258363,111805,149,20,0,96,265,110822191,136,19734,16455,23013,7.8,6.5,9.1,3866,2928,4804,7.9,6,9.8,2677,7,118472,110912,126032,122408,116433,5975,4.9,42948119,259254,165660,30056325,119.904,33092318,6.76,1775.76,329.49,209.13,520.141,93.4,65.48541392081788,38.88450304,20.36031272,13,1,0.4310986354294792,498.6128761239741,1.021789172119422,-0.760703613,0.17381799285016708,
California | Marin County | 2022,,06,041,06041,California,Marin County,2022,257038,-2311,2362,2110,252,1474,-4172,-2698,7029,9.148177627,8.17216545,0.976012177,5.708896622,-16.15842382,-10.4495272,112061,285,4,4,9,302,121246152,302,19345,16142,22548,7.7,6.4,9,3863,3065,4661,8.1,6.4,9.8,2935,8,135960,126214,145706,124059,120491,3568,2.9,43330639,257143,168508,29274868,116.787,34083475,12.52,1998.14,370.75,235.32,520.141,93.4,66.21427191775692,39.542693466344005,21.251712390173928,14,1,0.4359705568826399,494.16985009833877,1.1749235521596029,-0.891077274,0.22897008183890843,
California | Marin County | 2023,,06,041,06041,California,Marin County,2023,255443,-1595,2177,2221,-44,1725,-3319,-1594,7538,8.495924727,8.66763841,-0.171713683,6.731956892,-12.95267532,-6.220718427,112371,185,4,0,115,304,123516418,298,21535,18388,24682,8.7,7.4,10,3840,2909,4771,8.1,6.1,10.1,2868,7.8,139197,132371,146023,125457,121106,4351,3.5,46196076,255706,180661,29379949,117.206,35475463,3.06,2059.2,382.08,242.51,520.141,92.7,65.36692518754658,40.60376087344205,22.218869270554663,15.5,1,0.43990635875713957,491.1033738928483,1.1900893741460914,-0.620530816,0.2766350469833423,
California | Marin County | 2024,,06,041,06041,California,Marin County,2024,255704,261,2181,2151,30,1902,-1679,223,7123,8.533748609,8.416365547,0.117383062,7.442086132,-6.569538704,0.872547428,112725,151,4,3,0,158,77463490,153,24744,21572,27916,9.9,8.6,11.2,4541,3713,5369,9.6,7.8,11.4,3457,9.5,145395,136274,154516,125439,120497,4942,3.9,48944339,256400,190891,29894901,119.26,36853590,2.18,2104.13,390.42,247.8,520.141,92.8,65.95600811423571,40.409851513137674,22.540011896847336,16,1,0.4408417545286738,491.6051609082922,0.617901949,0.10217543639872151,0.31502789865711645,
California | Marin County | 2025,2025 is complete only for sources that had published county data by 2026-07-24; blanks from lagged sources are not zero.,06,041,06041,California,Marin County,2025,253694,-2010,2172,2144,28,738,-2764,-2026,6429,8.527713105,8.417779418,0.109933686,2.897537878,-10.85202533,-7.954487454,113112,149,0,0,0,149,86914194,122,,,,,,,,,,,,,,,,,,125160,119919,5241,4.2,,,,,,,-0.83,2086.62,387.17,245.74,520.141,,,,,16.5,1,0.4458599730383848,487.74082412268984,0.5873217340575654,-0.786065138,0.3433133732534843,
California | Mariposa County | 2010,,06,043,06043,California,Mariposa County,2010,18277,,31,22,,1,20,21,725,,,,,,,10195,41,4,0,0,45,9916822,45,2665,2124,3206,14.8,11.8,17.8,718,556,880,22.3,17.3,27.3,495,20.3,42222,38197,46247,8720,7580,1140,13.1,663308,18301,36244,622188,84.113,546091,-12,300.89,180.81,149.05,1448.84,90,69.53555795577284,35.29651795429815,13.296366568636753,8,0,0.5578048913935547,12.614919521824357,2.462110849701811,,,
California | Mariposa County | 2011,,06,043,06043,California,Mariposa County,2011,18170,,147,155,,0,-100,-100,725,8.066507532,8.505501139,,0,-5.487420089,-5.487420089,10243,24,4,0,0,28,6571234,28,2818,2262,3374,15.7,12.6,18.8,767,608,926,24.3,19.3,29.3,531,22.3,42175,37892,46458,8628,7490,1138,13.2,668438,18193,36741,690766,93.384,614202,-11.14,267.38,160.67,132.45,1448.84,88.7,68.05908146780521,38.23368074602304,13.390288286562592,8,0,0.5637314254265272,12.541067336627924,1.5410016510731976,-0.585435246,0.4708190289357539,
California | Mariposa County | 2012,,06,043,06043,California,Mariposa County,2012,17881,,141,156,,8,-291,-283,725,7.82225181,8.654406258,,0.443815706,-16.14379629,-15.69998058,10278,28,0,0,0,28,5619338,28,3260,2735,3785,18.4,15.4,21.4,766,607,925,25.1,19.9,30.3,537,23.7,43166,39363,46969,8352,7328,1024,12.3,674319,17901,37669,637668,86.205,576904,-3.59,257.78,154.9,127.69,1448.84,89.4,69.37380524821873,35.65969718817592,11.96454248366013,8,0,0.5748000671103406,12.341597415863726,1.565907946982831,-1.590533847,0.3416967685248462,
