"scope","model","lambda_rule","fold","group","n_exported","n_recomputed","rmse_exported","rmse_recomputed","mae_exported","mae_recomputed","r2_exported","r2_recomputed","rmse_abs_diff","mae_abs_diff","r2_abs_diff","n_match","max_abs_diff","status"
"by_fold_raw_target","separate_lasso_CA","1se",2,"California",43,43,16.8147624099144,16.8147624099144,11.7165712850889,11.7165712850889,0.479848832236111,0.479848832236111,2.1316282072803e-14,1.77635683940025e-15,5.55111512312578e-17,TRUE,2.1316282072803e-14,"PASS"
"by_fold_raw_target","separate_lasso_FL","min",2,"Florida",26,26,15.4720753698151,15.4720753698151,9.40565093390571,9.40565093390571,0.568002189086782,0.568002189086781,4.61852778244065e-14,1.77635683940025e-15,5.55111512312578e-16,TRUE,4.61852778244065e-14,"PASS"
"by_fold_raw_target","separate_lasso_FL","1se",2,"Florida",26,26,17.4469757988967,17.4469757988967,9.50361884162775,9.50361884162775,0.450680876134735,0.450680876134735,4.9737991503207e-14,1.77635683940025e-15,1.66533453693773e-16,TRUE,4.9737991503207e-14,"PASS"
"by_fold_raw_target","separate_state_lasso","min",2,"all",69,69,16.329587846884,16.329587846884,10.8255466526239,10.8255466526239,0.568876135854743,0.568876135854743,2.8421709430404e-14,1.24344978758018e-14,2.22044604925031e-16,TRUE,2.8421709430404e-14,"PASS"
"by_fold_raw_target","separate_state_lasso","1se",2,"all",69,69,17.0557394727881,17.0557394727881,10.8827051469731,10.8827051469731,0.529680783863075,0.529680783863074,1.06581410364015e-14,5.32907051820075e-15,7.7715611723761e-16,TRUE,1.06581410364015e-14,"PASS"
"by_fold_raw_target","state_time_baseline","none",3,"all",69,69,22.4779507523863,22.4779507523863,15.3783659935515,15.3783659935515,0.133092753605574,0.133092753605574,4.2632564145606e-14,1.77635683940025e-14,3.88578058618805e-16,TRUE,4.2632564145606e-14,"PASS"
"by_fold_raw_target","pooled_lasso","min",3,"all",69,69,18.1099892870642,18.1099892870642,11.8367764980655,11.8367764980655,0.437275804093771,0.437275804093771,1.77635683940025e-14,5.32907051820075e-15,3.33066907387547e-16,TRUE,1.77635683940025e-14,"PASS"
"by_fold_raw_target","pooled_lasso","1se",3,"all",69,69,18.2607047515156,18.2607047515156,11.5402333000772,11.5402333000772,0.427870591706645,0.427870591706646,3.5527136788005e-15,1.4210854715202e-14,7.7715611723761e-16,TRUE,1.4210854715202e-14,"PASS"
"by_fold_raw_target","pooled_lasso_state_interactions","min",3,"all",69,69,17.7132795543569,17.7132795543569,11.623481588132,11.6234815881321,0.46165937292241,0.461659372922408,1.77635683940025e-14,5.6843418860808e-14,1.55431223447522e-15,TRUE,5.6843418860808e-14,"PASS"
"by_fold_raw_target","pooled_lasso_state_interactions","1se",3,"all",69,69,18.0373125892943,18.0373125892943,11.5933599655357,11.5933599655357,0.441783247415134,0.441783247415135,1.06581410364015e-14,1.59872115546023e-14,5.55111512312578e-16,TRUE,1.59872115546023e-14,"PASS"
"by_fold_raw_target","separate_lasso_CA","min",3,"California",43,43,17.700994561013,17.700994561013,12.6885757909845,12.6885757909845,0.476741475847624,0.476741475847623,3.5527136788005e-15,1.77635683940025e-14,8.32667268468867e-16,TRUE,1.77635683940025e-14,"PASS"
"by_fold_raw_target","separate_lasso_CA","1se",3,"California",43,43,17.7390208181232,17.7390208181232,12.8560117535472,12.8560117535472,0.474490875111083,0.474490875111084,4.2632564145606e-14,1.06581410364015e-14,7.7715611723761e-16,TRUE,4.2632564145606e-14,"PASS"
"by_fold_raw_target","separate_lasso_FL","min",3,"Florida",26,26,8.77491219064455,8.77491219064456,6.36470947192391,6.36470947192391,0.401530544208193,0.401530544208192,1.06581410364015e-14,3.5527136788005e-15,5.55111512312578e-16,TRUE,1.06581410364015e-14,"PASS"
"by_fold_raw_target","separate_lasso_FL","1se",3,"Florida",26,26,7.71504545997367,7.71504545997367,6.22748504335773,6.22748504335773,0.53737040623249,0.53737040623249,4.44089209850063e-15,0,4.44089209850063e-16,TRUE,4.44089209850063e-15,"PASS"
"by_fold_raw_target","separate_state_lasso","min",3,"all",69,69,14.9758066469247,14.9758066469247,10.3056696417733,10.3056696417733,0.615195935234654,0.615195935234654,8.88178419700125e-15,4.61852778244065e-14,4.44089209850063e-16,TRUE,4.61852778244065e-14,"PASS"
"by_fold_raw_target","separate_state_lasso","1se",3,"all",69,69,14.7827274110139,14.7827274110139,10.3583060366642,10.3583060366642,0.625054332328509,0.62505433232851,4.08562073062058e-14,1.77635683940025e-14,5.55111512312578e-16,TRUE,4.08562073062058e-14,"PASS"
"by_fold_raw_target","state_time_baseline","none",4,"all",70,70,21.1367781762659,21.1367781762659,14.3305337698207,14.3305337698207,0.193914532507191,0.193914532507192,2.48689957516035e-14,2.30926389122033e-14,8.04911692853238e-16,TRUE,2.48689957516035e-14,"PASS"
"by_fold_raw_target","pooled_lasso","min",4,"all",70,70,16.542367036669,16.542367036669,10.5161250686722,10.5161250686723,0.506259426204639,0.506259426204639,3.19744231092045e-14,5.32907051820075e-14,1.11022302462516e-16,TRUE,5.32907051820075e-14,"PASS"
"by_fold_raw_target","pooled_lasso","1se",4,"all",70,70,16.5239665656432,16.5239665656432,10.0107416139738,10.0107416139738,0.507357214246439,0.507357214246439,3.19744231092045e-14,1.59872115546023e-14,1.11022302462516e-16,TRUE,3.19744231092045e-14,"PASS"
"by_fold_raw_target","pooled_lasso_state_interactions","min",4,"all",70,70,15.6710862927174,15.6710862927174,10.2206920299043,10.2206920299043,0.556900034342395,0.556900034342395,3.01980662698043e-14,2.1316282072803e-14,4.44089209850063e-16,TRUE,3.01980662698043e-14,"PASS"
"by_fold_raw_target","pooled_lasso_state_interactions","1se",4,"all",70,70,16.2367083194951,16.2367083194951,10.1277902517252,10.1277902517252,0.524336869045423,0.524336869045423,4.61852778244065e-14,4.44089209850063e-14,1.11022302462516e-16,TRUE,4.61852778244065e-14,"PASS"
"by_fold_raw_target","separate_lasso_CA","min",4,"California",44,44,16.5131858763046,16.5131858763046,12.1445699303585,12.1445699303584,0.508209950575946,0.508209950575946,3.5527136788005e-15,5.15143483426073e-14,1.11022302462516e-16,TRUE,5.15143483426073e-14,"PASS"
"by_fold_raw_target","separate_lasso_CA","1se",4,"California",44,44,15.9184213548348,15.9184213548349,11.5743697831414,11.5743697831414,0.542998115833715,0.542998115833714,6.3948846218409e-14,3.01980662698043e-14,1.33226762955019e-15,TRUE,6.3948846218409e-14,"PASS"
"by_fold_raw_target","separate_lasso_FL","min",4,"Florida",26,26,8.37455863196255,8.37455863196256,6.66305822735323,6.66305822735323,-0.0260268119894664,-0.0260268119894671,7.105427357601e-15,4.44089209850063e-15,7.0082828429463e-16,TRUE,7.105427357601e-15,"PASS"
"by_fold_raw_target","separate_lasso_FL","1se",4,"Florida",26,26,6.87784194066891,6.87784194066892,5.44844972190917,5.44844972190917,0.307947188943364,0.307947188943363,6.21724893790088e-15,0,6.10622663543836e-16,TRUE,6.21724893790088e-15,"PASS"
"by_fold_raw_target","separate_state_lasso","min",4,"all",70,70,14.0517500597112,14.0517500597112,10.1085798692422,10.1085798692422,0.643742230143264,0.643742230143264,2.48689957516035e-14,2.30926389122033e-14,2.22044604925031e-16,TRUE,2.48689957516035e-14,"PASS"
"by_fold_raw_target","separate_state_lasso","1se",4,"all",70,70,13.2984169545015,13.2984169545015,9.2990280461123,9.2990280461123,0.680917193394162,0.680917193394162,4.2632564145606e-14,5.32907051820075e-15,4.44089209850063e-16,TRUE,4.2632564145606e-14,"PASS"
"by_fold_raw_target","state_time_baseline","none",5,"all",70,70,22.0222209545792,22.0222209545792,15.3461423767643,15.3461423767643,0.206692127141056,0.206692127141056,7.105427357601e-15,2.8421709430404e-14,2.22044604925031e-16,TRUE,2.8421709430404e-14,"PASS"
"by_fold_raw_target","pooled_lasso","min",5,"all",70,70,14.0908838747205,14.0908838747205,9.12529568693356,9.12529568693355,0.675214969254657,0.675214969254658,1.77635683940025e-14,7.105427357601e-15,5.55111512312578e-16,TRUE,1.77635683940025e-14,"PASS"
"by_fold_raw_target","pooled_lasso","1se",5,"all",70,70,15.0622107193574,15.0622107193574,9.30881284477418,9.30881284477418,0.628894858815222,0.628894858815223,3.19744231092045e-14,0,5.55111512312578e-16,TRUE,3.19744231092045e-14,"PASS"
"by_fold_raw_target","pooled_lasso_state_interactions","min",5,"all",70,70,12.7673832623127,12.7673832623127,8.81051281929718,8.81051281929719,0.733361213541562,0.733361213541562,3.19744231092045e-14,5.32907051820075e-15,4.44089209850063e-16,TRUE,3.19744231092045e-14,"PASS"
"by_fold_raw_target","pooled_lasso_state_interactions","1se",5,"all",70,70,13.7744511941479,13.7744511941479,8.79361508317577,8.79361508317577,0.689638285725969,0.689638285725969,3.5527136788005e-14,1.77635683940025e-15,2.22044604925031e-16,TRUE,3.5527136788005e-14,"PASS"
"by_fold_raw_target","separate_lasso_CA","min",5,"California",44,44,15.0488943991798,15.0488943991798,12.0764670808353,12.0764670808353,0.591497230056576,0.591497230056576,2.30926389122033e-14,3.19744231092045e-14,2.22044604925031e-16,TRUE,3.19744231092045e-14,"PASS"
