"feature_set","fold","validation_year","variable","permutation_importance","selected_mtry","oob_mse"
"factors",4,2020,"coc_real_per_capita_personal_income_2025_usd",9.25336292264863,13,193.238673372189
"factors",4,2020,"coc_unemployment_rate_pct",3.80456324834514,13,193.238673372189
"factors",4,2020,"coc_high_school_graduate_pct",6.93952834276976,13,193.238673372189
"factors",4,2020,"coc_homeownership_rate_pct",6.77651595158493,13,193.238673372189
"factors",4,2020,"coc_housing_cost_burdened_households_pct",9.94302260039106,13,193.238673372189
"factors",4,2020,"coc_income_inequality_ratio",7.63316856515703,13,193.238673372189
"factors",4,2020,"coc_annual_hpi_change_pct",3.85741028663769,13,193.238673372189
"factors",4,2020,"coc_real_gdp_per_capita_2017_usd",9.80937204136557,13,193.238673372189
"factors",4,2020,"coc_real_gdp_quantity_index",6.24374963052554,13,193.238673372189
"factors",4,2020,"coc_relative_home_price_index_2000_base",4.62974630432031,13,193.238673372189
"factors",4,2020,"state_real_minimum_wage_2025_usd",3.99297014997966,13,193.238673372189
"factors",4,2020,"state_medicaid_expansion",2.22671145568154,13,193.238673372189
"factors",4,2020,"coc_hic_temporary_beds_per_10k",23.3304000862585,13,193.238673372189
"factors",4,2020,"coc_hic_psh_beds_per_10k",16.5856798727922,13,193.238673372189
"factors",4,2020,"state_anticamping_strictness",0,13,193.238673372189
"factors",4,2020,"state_tanf_max_benefit_3person",2.54642923908217,13,193.238673372189
"factors",4,2020,"state_ssi_state_supplement",1.79187433879987,13,193.238673372189
"factors",4,2020,"state_labor_force_participation_pct",6.55197470674997,13,193.238673372189
"factors",4,2020,"state_real_median_rent_2025_usd",5.36009131543542,13,193.238673372189
"factors",4,2020,"state_rental_vacancy_rate",4.76000966124402,13,193.238673372189
"factors",5,2022,"control_state_florida",4.69455130044148,7,185.387825153013
"factors",5,2022,"control_time_index",3.9107973077274,7,185.387825153013
"factors",5,2022,"coc_log_estimated_population",13.5943386365208,7,185.387825153013
"factors",5,2022,"coc_population_density_per_sq_mile",10.6464022972842,7,185.387825153013
"factors",5,2022,"coc_contributing_counties",5.65709008141562,7,185.387825153013
"factors",5,2022,"coc_contains_split_county_flag",2.94716445842401,7,185.387825153013
"factors",5,2022,"coc_housing_units_per_1000_residents",5.83878882880686,7,185.387825153013
"factors",5,2022,"coc_permits_per_1000_housing_units",5.85271809446212,7,185.387825153013
"factors",5,2022,"coc_multifamily_permit_share_pct",6.7006246576652,7,185.387825153013
"factors",5,2022,"coc_permits_value_per_1000_housing_units_2025_usd",6.4541052492141,7,185.387825153013
"factors",5,2022,"coc_birth_rate_per_1000",7.73786093221973,7,185.387825153013
"factors",5,2022,"coc_death_rate_per_1000",5.02506657587189,7,185.387825153013
"factors",5,2022,"coc_international_migration_rate_per_1000",9.33478762781964,7,185.387825153013
"factors",5,2022,"coc_domestic_migration_rate_per_1000",4.2063847308663,7,185.387825153013
"factors",5,2022,"coc_group_quarters_per_1000_residents",10.2278772267823,7,185.387825153013
"factors",5,2022,"coc_population_growth_rate_pct",7.57291090396174,7,185.387825153013
"factors",5,2022,"coc_housing_supply_growth_rate_pct",4.02586298859435,7,185.387825153013
"factors",5,2022,"coc_poverty_all_pct",4.23463153339252,7,185.387825153013
"factors",5,2022,"coc_poverty_child_pct",6.39994135178019,7,185.387825153013
"factors",5,2022,"coc_real_median_household_income_2025_usd",8.30583970855204,7,185.387825153013
"factors",5,2022,"coc_real_per_capita_personal_income_2025_usd",7.6727630833936,7,185.387825153013
"factors",5,2022,"coc_unemployment_rate_pct",5.80420746630545,7,185.387825153013
"factors",5,2022,"coc_high_school_graduate_pct",8.52906823599885,7,185.387825153013
"factors",5,2022,"coc_homeownership_rate_pct",7.86174356404993,7,185.387825153013
"factors",5,2022,"coc_housing_cost_burdened_households_pct",9.3088590351422,7,185.387825153013
"factors",5,2022,"coc_income_inequality_ratio",8.0597201159397,7,185.387825153013
"factors",5,2022,"coc_annual_hpi_change_pct",4.43250327801815,7,185.387825153013
"factors",5,2022,"coc_real_gdp_per_capita_2017_usd",9.42787268122837,7,185.387825153013
"factors",5,2022,"coc_real_gdp_quantity_index",6.41618654338436,7,185.387825153013
"factors",5,2022,"coc_relative_home_price_index_2000_base",7.30610974994612,7,185.387825153013
"factors",5,2022,"state_real_minimum_wage_2025_usd",5.3417282523471,7,185.387825153013
"factors",5,2022,"state_medicaid_expansion",2.91209726984056,7,185.387825153013
"factors",5,2022,"coc_hic_temporary_beds_per_10k",20.0257659456793,7,185.387825153013
"factors",5,2022,"coc_hic_psh_beds_per_10k",13.200326891714,7,185.387825153013
"factors",5,2022,"state_anticamping_strictness",-0.564388611310968,7,185.387825153013
"factors",5,2022,"state_tanf_max_benefit_3person",4.3608813958406,7,185.387825153013
"factors",5,2022,"state_ssi_state_supplement",3.34994294922244,7,185.387825153013
"factors",5,2022,"state_labor_force_participation_pct",8.09807722983784,7,185.387825153013
"factors",5,2022,"state_real_median_rent_2025_usd",5.25262028503669,7,185.387825153013
"factors",5,2022,"state_rental_vacancy_rate",5.11640415660719,7,185.387825153013
"factors",6,2023,"control_state_florida",3.48488400692897,13,166.526218010171
"factors",6,2023,"control_time_index",4.22532089993962,13,166.526218010171
"factors",6,2023,"coc_log_estimated_population",14.9736355734877,13,166.526218010171
"factors",6,2023,"coc_population_density_per_sq_mile",11.556178394278,13,166.526218010171
"factors",6,2023,"coc_contributing_counties",5.45890094148402,13,166.526218010171
"factors",6,2023,"coc_contains_split_county_flag",3.13910691205335,13,166.526218010171
"factors",6,2023,"coc_housing_units_per_1000_residents",6.67464160713183,13,166.526218010171
"factors",6,2023,"coc_permits_per_1000_housing_units",4.84614338060918,13,166.526218010171
"factors",6,2023,"coc_multifamily_permit_share_pct",4.6486390536347,13,166.526218010171
"factors",6,2023,"coc_permits_value_per_1000_housing_units_2025_usd",5.0874821944389,13,166.526218010171
"factors",6,2023,"coc_birth_rate_per_1000",9.8602781960127,13,166.526218010171
"factors",6,2023,"coc_death_rate_per_1000",7.74027534741086,13,166.526218010171
"factors",6,2023,"coc_international_migration_rate_per_1000",8.13000989590257,13,166.526218010171
"factors",6,2023,"coc_domestic_migration_rate_per_1000",3.63555750623582,13,166.526218010171
"factors",6,2023,"coc_group_quarters_per_1000_residents",9.19379245795053,13,166.526218010171
"factors",6,2023,"coc_population_growth_rate_pct",7.58851042442016,13,166.526218010171
"factors",6,2023,"coc_housing_supply_growth_rate_pct",4.76513494316574,13,166.526218010171
"factors",6,2023,"coc_poverty_all_pct",4.4243290659897,13,166.526218010171
"factors",6,2023,"coc_poverty_child_pct",7.60830938448884,13,166.526218010171
"factors",6,2023,"coc_real_median_household_income_2025_usd",8.36680805768444,13,166.526218010171
"factors",6,2023,"coc_real_per_capita_personal_income_2025_usd",8.84421472084835,13,166.526218010171
"factors",6,2023,"coc_unemployment_rate_pct",4.11221770746376,13,166.526218010171
"factors",6,2023,"coc_high_school_graduate_pct",7.79521222514922,13,166.526218010171
"factors",6,2023,"coc_homeownership_rate_pct",9.90541750595388,13,166.526218010171
"factors",6,2023,"coc_housing_cost_burdened_households_pct",8.90001752623796,13,166.526218010171
"factors",6,2023,"coc_income_inequality_ratio",6.97391170050079,13,166.526218010171
"factors",6,2023,"coc_annual_hpi_change_pct",3.20787173111741,13,166.526218010171
"factors",6,2023,"coc_real_gdp_per_capita_2017_usd",9.53406627642295,13,166.526218010171
"factors",6,2023,"coc_real_gdp_quantity_index",5.91127236061542,13,166.526218010171
"factors",6,2023,"coc_relative_home_price_index_2000_base",6.2269685325902,13,166.526218010171
